#漢字	音標	解釋
多	tɔ55	多 多少
濺	tsin33	溅 溅水
遷	tsʰim55	迁 迁移
淺	tsʰin24	浅 深浅
錢	tsʰin24	钱 钱财
踐	tsʰin33	践 实践
賤	tsin33	贱 犯贱
餞	tsin33	饯 饯行
仙	sin55	仙 神仙
鮮	sin55	鲜 新鲜
鮮	sin55	鲜 朝鲜
癬	sin24	癣 脚癣
綫	sin33	线 线索
薛	sit033	薛 姓
泄	sit033	泄 泄漏，排泄
羨	sin22	羡 羡慕
展	tsin24	展 发展
哲	tsit033	哲 哲学
蜇	tsit033	蜇 蝎子蜇人；海蜇
徹	tsʰit033	彻 彻底
撤	tsʰit033	撤 撤退
纏	tsʰin11	缠 纠缠
轍	tsʰit033	辙 南辕北辙
氈	tsin55	毡 油毛毡
戰	tsin33	战 战斗
顫	tsin33	颤 颤抖
折	tsit033	折 折断；折扣
浙	tsit033	浙 浙江
舌	sit022	舌 舌头
搧	sin33	扇 扇扇子；（动）
扇	sin33	扇 扇子（名）
設	tsʰit033	设 设计
蟬	sim11	蝉 蝉蜕，知了
禪	sin11	禅 禅让
善	sin22	善 善良
鱔	sin33	鳝 鳝鱼，黄鳝
膳	sin22	膳 膳食
禪	sim11	禅 禅宗
折	sit033	折 折本；摔折手臂
然	∅in11	然 居然
燃	∅in11	燃 燃烧
熱	∅it022	热 热烈
遣	hin33	遣 遣责
乾	kʰin11	乾 乾坤
虔	kʰin11	虔 虔诚
件	kin22	件 一件
傑	kit022	杰 杰出
諺	∅in22	谚 谚语
孽	∅ip033	孽 作孽
延	∅in11	延 延安
筵	∅in11	筵 筵席
演	hin33	演 演出
建	kin33	建 建设
揭	kʰit033	揭 揭发
鍵	kin22	键 关键
健	kin22	健 健康
竭	kʰit033	竭 竭尽全力
言	∅in11	言 语言
軒	hin55	轩 人名用字（轩辕）
掀	hin55	掀 掀开
憲	hin33	宪 宪法
獻	hin33	献 贡献
歇	hit033	歇 歇一下
蝎	kʰit033	蝎 蝎子
堰	∅im24	堰 都江堰
邊	pin55	边 旁边
蝙	pʰin55	蝙 蝙蝠
扁	pin24	扁 扁担
匾	pin24	匾 牌匾
遍	pʰin33	遍 遍地
遍	pʰin33	遍 一遍
片	pʰin33	片 片面
撇	pʰit033	撇 撇开
辮	pin55	辫 辫子
眠	min11	眠 安眠
麵	min22	面 面条
篾	mit022	篾 竹篾
顚	tin55	颠 颠倒
癲	tin55	癫 癫狗
典	tin24	典 词典
天	tʰin55	天 晴天
鐵	tʰit033	铁 钢铁
田	tʰin11	田 田地
塡	tʰin11	填 填空
電	tin22	电 电灯
殿	tin22	殿 殿堂
佃	tin22	佃 佃户
墊	tʰin33	垫 垫钱；座垫
年	nin11	年 过年
撚	nin24	捻 以指捻碎；捻线
攆	nin24	撵 撵出去
捏	nip033	捏 捏紧
憐	lin11	怜 可怜
蓮	lin11	莲 莲花
練	lin22	练 练习
楝	lin24	楝 苦楝树
鏈	lin24	链 项链
箋	tsin55	笺 信笺
薦	tsin33	荐 推荐
節	tsit033	节 节约
千	tsʰin55	千 千万
切	tsʰit033	切 切开
前	tsʰin11	前 从前
截	tsit033	截 截断
先	sin55	先 先进
屑	sit033	屑 不屑一顾（动）
屑	sit033	屑 木屑（名）
肩	kin55	肩 肩膀
堅	kin55	坚 坚强
繭	kan24	茧 蚕茧
趼	kan24	趼 老茧（手脚掌上）
見	kin33	见 见识
結	kit033	结 结果
潔	kit033	洁 清洁
牽	hin55	牵 牵牛花
硏	∅in11	研 研究
硯	∅in24	砚 砚台
顯	hin24	显 明显
賢	∅in11	贤 贤惠
弦	∅yn11	弦 琴弦
現	∅in22	现 出现
煙	∅in55	烟 香烟
燕	∅in33	燕 燕京；姓
燕	∅in33	燕 燕子
嚥	∅it033	咽 咽下去
宴	∅in33	宴 宴会
噎	∅it033	噎 噎住
般	pun55	般 一般
搬	pun55	搬 搬家
半	pun33	半 半天
絆	pun22	绊 绊倒
缽	put033	钵 衣钵
撥	put022	拨 拨款
潘	pʰun55	潘 姓
拚	pʰəŋ33	拼 拼命
判	pʰun33	判 审判
潑	pʰut033	泼 泼水
盤	pʰun11	盘 算盘
伴	pun22	伴 伙伴
拌	pun22	拌 搅拌
叛	pun22	叛 叛徒
瞞	mun11	瞒 隐瞒
饅	man22	馒 馒头
鰻	man11	鳗 鳗鱼
滿	mun33	满 满意，装满
漫	man11	漫 漫画
末	mut022	末 末尾
沫	mut022	沫 泡沫
抹	mut033	抹 抹布
端	tyn55	端 端午
短	tyn24	短 长短
斷	tʰyn33	断 断绝，线断了
鍛	tyn33	锻 锻炼
脫	tʰyt033	脱 摆脱
團	tʰyn11	团 团结
糰	tʰyn11	团 糕团
斷	tʰyn33	断 决断，断案
段	tyn22	段 阶段
緞	tyn22	缎 绸缎
奪	tyt022	夺 夺权
暖	nyn33	暖 暖和
鸞	lyn11	鸾 鸾凤
卵	lɐn24	卵 鸡卵（鸡蛋）
亂	lyn22	乱 混乱
捋	lyt033	捋 捋袖
鑽	tsyn33	钻 电钻（名）
鑽	tsyn33	钻 钻洞（动）
竄	tsʰyn24	窜 东窜西窜
撮	tsʰyt033	撮 一撮胡子
酸	syn55	酸 酸味
算	syn33	算 计算
蒜	syn33	蒜 蒜头
官	kun55	官 当官
棺	kun55	棺 棺材
觀	kun55	观 参观
冠	kun33	冠 冠军
管	kun24	管 管理
館	kun24	馆 图书馆
貫	kun33	贯 贯彻
灌	kun33	灌 灌溉
罐	kun33	罐 罐头
觀	kun55	观 道观
冠	kun33	冠 衣冠
括	kʰut033	括 包括
寬	fun55	宽 宽敞
款	fun24	款 汇款
闊	fut033	阔 开阔
玩	wan24	玩 玩具，游玩
歡	fun55	欢 喜欢
喚	wun22	唤 呼唤
煥	wun22	焕 焕然一新
豁	kʰut033	豁 豁然，豁嘴
完	∅yn11	完 完全
丸	∅yn24	丸 药丸
緩	wun22	缓 迟缓
皖	wun24	皖 皖南事变
換	wun22	换 交换
活	wut022	活 生活
豌	wun24	豌 豌豆
碗	wun24	碗 饭碗
腕	wun24	腕 手腕
頑	wan11	顽 顽皮
幻	wan22	幻 幻想
滑	wat022	滑 滑稽
猾	wat022	猾 狡猾
挖	wat033	挖 挖地
篡	tsʰyn24	篡 篡位
閂	san55	闩 门闩
刷	tsʰat033	刷 牙刷
關	kwan55	关 关门
慣	kwan33	惯 习惯
刮	kwat033	刮 搜刮
還	wan11	还 还有
還	wan11	还 还原，还钱
環	wan11	环 环境
患	wan22	患 忧患；患病
彎	wan55	弯 弯曲
灣	wan55	湾 海湾
戀	lyn24	恋 恋爱
劣	lyt033	劣 恶劣
全	tsʰyn11	全 全部
泉	tsʰyn11	泉 泉水
絕	tsyt022	绝 绝对
宣	syn55	宣 宣传
選	syn24	选 选举
雪	syt033	雪 下雪
旋	syn11	旋 旋转
轉	tsyn24	转 转送，转学
轉	tsyn24	转 转圆圈
啜	tsyt033	啜 啜奶
傳	tsʰyn11	传 传达
篆	syn33	篆 篆书
傳	tsyn24	传 自传
專	tsyn55	专 专门
磚	tsyn55	砖 砖头
拙	tsyt033	拙 笨拙
川	tsʰyn55	川 四川
穿	tsʰyn55	穿 穿着
喘	tsʰyn24	喘 哮喘
串	tsʰyn33	串 串通
脣	sɐn11	唇 嘴唇
盾	tʰɐn33	盾 矛盾
順	sɐn22	顺 顺利
術	s∅t022	术 技术
述	s∅t022	述 叙述
舜	sɐn22	舜 尧舜
純	sɐn11	纯 单纯
醇	sɐn11	醇 酒醇
潤	∅iɐn22	润 滋润
閏	∅iɐn22	闰 闰月
均	kwɐn55	均 平均
鈞	kwɐn55	钧 千钧一发
橘	kwɐt055	橘 橘子
菌	kwʰɐn24	菌 细菌
勻	wɐn11	匀 均匀
允	wɐn33	允 允许
尹	wɐn24	尹 姓
分	fɐn55	分 分开
吩	fɐn55	吩 吩咐
粉	fɐn24	粉 面粉
糞	fɐn33	粪 猪粪
奮	fɐn33	奋 奋斗
芬	fɐn55	芬 芬芳
紛	fɐn55	纷 纠纷
爭	tsaŋ55	争 争吵，战争
箏	tsaŋ33	筝 风筝
睜	tseŋ55	睁 睁眼
踭	tsaŋ33	踭 脚后跟
責	tsak033	责 责任
策	tsʰak033	策 策略
冊	tsʰak033	册 书册
耕	kaŋ55	耕 耕田
耿	kəŋ24	耿 耿耿于怀
革	kak033	革 革命；皮革
隔	kak033	隔 隔开，隔壁
莖	kəŋ33	茎 花茎
幸	heŋ22	幸 幸福
核	hɐt022	核 果核
核	hɐt022	核 核对
鶯	∅ɐn55	莺 黄莺
鸚	∅ieŋ55	鹦 鹦鹉
櫻	∅ieŋ55	樱 樱桃
扼	∅ɐk055	扼 扼杀
軛	∅ak033	轭 牛轭（牛耕田时套的工具）
兵	pəŋ55	兵 当兵
丙	pəŋ24	丙 甲乙丙丁
秉	pəŋ24	秉 秉公办事
柄	pɛŋ33	柄 把柄
碧	pek033	碧 碧玉
平	pʰeŋ11	平 平时
坪	pʰeŋ11	坪 草坪
評	pʰeŋ11	评 批评
病	pɛŋ22	病 生病
鳴	məŋ11	鸣 鸣叫
明	məŋ11	明 明年
盟	meŋ11	盟 同盟
皿	məŋ33	皿 器皿
命	məŋ22	命 命令；一条命
京	keŋ55	京 北京
荆	keŋ55	荆 荆州
驚	keŋ55	惊 吃惊，好惊
境	keŋ24	境 境界
景	keŋ24	景 景色
警	keŋ24	警 警察
敬	keŋ33	敬 敬爱
竟	keŋ24	竟 竟然
鏡	kɛŋ33	镜 镜子，圆镜
戟	kek055	戟 方天画戟
卿	heŋ55	卿 人名用字；爱卿
慶	heŋ33	庆 庆祝
擎	kʰeŋ11	擎 举起
鯨	kʰeŋ11	鲸 鲸鱼
競	keŋ22	竞 竞争
劇	kʰɛk022	剧 剧烈
劇	kʰɛk022	剧 戏剧
屐	kʰɛk022	屐 木屐
迎	∅ieŋ11	迎 欢迎
逆	∅iek022	逆 逆风
英	∅ieŋ55	英 英雄
影	∅ieŋ24	影 电影
映	∅ieŋ24	映 反映
餠	pɛŋ24	饼 饼干
倂	pʰeŋ33	并 合并
璧	pek033	璧 玉璧
聘	pʰeŋ33	聘 聘请
僻	pek055	僻 偏僻
癖	pek055	癖 癖好，怪癖
辟	pek055	辟 开辟
名	məŋ11	名 名字
領	lɛŋ33	领 领钱；衣领
嶺	lɛŋ33	岭 山岭，岭南
令	leŋ22	令 令人
精	tseŋ55	精 精神
晶	tseŋ55	晶 水晶
睛	tseŋ55	睛 眼睛
井	tseŋ24	井 一口井；井井有条
積	tsek055	积 积极
跡	tsek055	迹 笔迹
脊	tsɛk033	脊 背脊
淸	tsʰeŋ55	清 清洁，水很清
請	tsʰeŋ24	请 请人，邀请
情	tsʰeŋ11	情 情节
晴	tsʰeŋ11	晴 天晴
靜	tseŋ22	静 安静
淨	tseŋ22	净 净重；干净
籍	tsek022	籍 籍贯
藉	tsek022	藉 狼藉
省	saŋ24	省 反省
性	seŋ33	性 性别
姓	seŋ33	姓 姓名
惜	sek055	惜 可惜
昔	sek055	昔 今昔
席	tsek022	席 酒席；主席
蓆	tsɛk022	席 草席
夕	tsek022	夕 夕阳
貞	tseŋ55	贞 贞节
偵	tseŋ55	侦 侦察
逞	tsʰeŋ24	逞 得逞
呈	tsʰeŋ11	呈 呈现
程	tsʰeŋ11	程 程度；姓
鄭	tsɛŋ22	郑 姓；郑重
擲	tsak022	掷 掷骰子
正	tseŋ33	正 正月
征	tseŋ55	征 长征；征兵
整	tseŋ24	整 整体
正	tseŋ33	正 正直，方正
政	tseŋ33	政 政治
隻	tsɛk033	只 一只
炙	tsek033	炙 炙手可热
赤	tsʰek033	赤 赤脚
斥	tsʰek055	斥 排斥
尺	tsʰɛk033	尺 尺寸，一把尺
射	sɛ22	射 射箭
聲	seŋ55	声 声音
聖	seŋ33	圣 神圣
適	sek055	适 合适
釋	sek055	释 解释
成	seŋ11	成 完成
城	seŋ11	城 县城
誠	seŋ11	诚 诚心
盛	seŋ22	盛 兴盛；姓
石	sɛk022	石 石头
頸	kɛŋ24	颈 头颈
勁	keŋ33	劲 有劲
輕	heŋ55	轻 轻重
嬰	∅ieŋ55	婴 婴儿
纓	∅ieŋ55	缨 红缨枪
益	∅iek055	益 利益
盈	∅ieŋ11	盈 盈利
贏	∅iɛŋ11	赢 输赢
亦	∅iek022	亦 亦可
譯	∅iek022	译 翻译
易	∅iek022	易 交易
液	∅iek022	液 液体
腋	∅iek022	腋 腋下
壁	pek033	壁 墙壁
拼	pʰeŋ33	拼 拼音，拼图
劈	pʰɛk033	劈 雷劈，刀劈
甁	pʰeŋ11	瓶 瓶子
屛	pʰeŋ11	屏 屏风
萍	pʰeŋ11	萍 萍水相逢；萍乡
並	peŋ33	并 并且
銘	məŋ11	铭 铭刻
冥	wəŋ11	冥 冥王，冥钞
覓	mek033	觅 寻觅
丁	teŋ55	丁 甲乙丙丁；姓
釘	tɛŋ55	钉 钉书（动）
疔	tɛŋ55	疔 疔疮
叮	tɛŋ55	叮 蚊子咬
頂	tɛŋ24	顶 顶好；山顶
鼎	teŋ24	鼎 鼎盛
釘	tɛŋ33	钉 铁钉（名）
訂	teŋ33	订 订合同，预订
的	tek033	的 目的
滴	tek022	滴 滴水
嫡	tek055	嫡 嫡系，嫡亲
聽	tʰeŋ33	听 听见，听话
廳	tʰɛŋ55	厅 客厅
汀	teŋ55	汀 汀州
聽	tʰeŋ33	听 听任
踢	tʰɛk033	踢 踢球
剔	tʰek055	剔 挑剔
亭	tʰeŋ11	亭 凉亭
停	tʰeŋ11	停 停下
廷	tʰeŋ11	廷 朝廷
庭	tʰeŋ11	庭 家庭
蜓	tʰeŋ11	蜓 蜻蜓
艇	tʰɛŋ33	艇 潜艇
挺	tʰeŋ33	挺 挺胸
錠	teŋ22	锭 银锭
定	teŋ22	定 坚定
笛	tɛk022	笛 笛子
敵	tek022	敌 敌人
狄	tek033	狄 姓
糴	tɛk022	籴 籴米（买米）
寧	neŋ11	宁 安宁
寧	neŋ11	宁 宁可
溺	∅iɔk033	溺 溺死
靈	leŋ11	灵 灵活
零	leŋ11	零 零碎；零分；十零个
鈴	leŋ55	铃 风铃
伶	leŋ11	伶 伶俐；伶仃
拎	leŋ55	拎 提
另	leŋ22	另 另外
歷	lek022	历 经历，历史
曆	lek022	历 日历，历书
礫	lek055	砾 瓦砾
績	tsek055	绩 成绩
靑	tsʰeŋ55	青 青年；青色
蜻	tsʰeŋ55	蜻 蜻蜓
戚	tsʰek055	戚 亲戚
寂	tsek022	寂 寂寞
星	seŋ55	星 星星
腥	sɛŋ55	腥 腥臭
醒	seŋ24	醒 醒来，清醒
錫	sɛk033	锡 无锡；锡纸
析	sek055	析 分析
經	keŋ55	经 经济
徑	keŋ33	径 半径
經	keŋ55	经 经纬
擊	kek055	击 击败
激	kek055	激 激动
喫	hɛk033	吃 吃东西；吃亏
馨	heŋ55	馨 温馨
形	∅ieŋ11	形 形状
型	∅ieŋ11	型 型号
刑	∅ieŋ11	刑 刑法
礦	kʰɔŋ33	矿 煤矿
橫	waŋ11	横 横直
橫	waŋ11	横 蛮横
轟	kwəŋ55	轰 轰炸
宏	wəŋ11	宏 宏大
獲	wɔk022	获 获得
劃	wak022	划 计划
兄	heŋ55	兄 兄弟
榮	wəŋ11	荣 光荣
永	wəŋ33	永 永远
泳	wəŋ22	泳 游泳
詠	wəŋ22	咏 歌咏
傾	keŋ55	倾 倾向
頃	keŋ24	顷 顷刻
瓊	keŋ11	琼 琼楼
營	∅ieŋ11	营 营养
穎	wəŋ22	颖 新颖
疫	∅iek022	疫 疫苗
役	∅iek022	役 战役
螢	∅ieŋ11	萤 萤火虫
撲	pʰɔk033	扑 扑灭
仆	pʰɔk033	仆 仆倒
篷	pʰoŋ11	篷 帐篷
蓬	pʰoŋ11	蓬 蓬勃；蓬蒿；蓬莱
僕	pok022	仆 仆人，奴仆
曝	pau22	曝 曝光
瀑	pou22	瀑 瀑布
蒙	moŋ11	蒙 蒙古
懵	moŋ24	懵 懵懂
木	mok033	木 木头
東	toŋ55	东 东方
董	toŋ24	董 姓
懂	toŋ24	懂 懂了；懵懂
凍	toŋ33	冻 冻死
棟	toŋ33	栋 栋梁
通	tʰoŋ55	通 通过
桶	tʰoŋ24	桶 木桶
捅	tʰoŋ24	捅 捅破了
痛	tʰoŋ33	痛 痛苦
禿	tʰok055	秃 秃顶
同	tʰoŋ11	同 同学
銅	tʰoŋ11	铜 铜器
桐	tʰoŋ11	桐 梧桐
筒	tʰoŋ24	筒 电筒
童	tʰoŋ11	童 儿童
瞳	tʰoŋ11	瞳 瞳孔
動	toŋ22	动 动作
洞	toŋ22	洞 山洞
獨	tok022	独 独立
讀	tok022	读 读书
籠	loŋ11	笼 牢笼
聾	loŋ11	聋 耳聋
嚨	loŋ22	咙 喉咙
攏	loŋ24	拢 靠拢
弄	loŋ22	弄 弄错
鹿	lok022	鹿 鹿茸
祿	lok022	禄 福禄寿
棕	tsoŋ55	棕 棕色
鬃	tsoŋ55	鬃 马鬃
總	tsoŋ24	总 总计
糉	tsoŋ33	粽 粽子
聰	tsʰoŋ55	聪 聪明
匆	tsʰoŋ55	匆 匆忙
葱	tsʰoŋ55	葱 香葱
囪	tʰoŋ55	囱 烟囱
叢	tsʰoŋ11	丛 树丛
族	tsok033	族 民族
送	soŋ33	送 送客
速	tsʰok055	速 速度
公	koŋ55	公 公文
蚣	koŋ55	蚣 蜈蚣
工	koŋ55	工 工人
功	koŋ55	功 功课
攻	koŋ55	攻 攻击
貢	koŋ33	贡 贡献
罌	∅aŋ55	罂[宽口陶瓷瓶]
呃	ŋɐk055	呃[骗]
靚	lɛŋ33	靓[漂亮]
嚦	lɛk055	呖[利害、能干]（~ 仔）
埕	tsʰeŋ11	埕[酒瓮]（酒 ~）
擗	pʰɛk033	擗[扔弃]
掟	tʰɛŋ22	掟（扔：～石头）
壢	lɛk033	坜[畦]
蠓	moŋ11	蠓[虫]
戙	toŋ33	戙[竖]
睩	lok055	睩[瞪]
轆	lok055	辘[轮子]
餸	soŋ33	餸[菜肴]（饭 ~）
喐	∅iok055	喐[动]
焗	kok033	焗（~ 饭、盐 ~鸡、~ 油）
頁	∅ip022	页 一页
劍	kim33	剑 宝剑
劫	kip033	劫 抢劫
欠	him33	欠 欠债
怯	hip033	怯 胆怯
嚴	∅im11	严 严格
業	∅ip022	业 事业
脅	hip022	胁 威胁
腌	∅ip033	腌 腌制
點	tim24	点 点头
店	tim33	店 商店
踮	tim33	踮 踮脚尖
跌	tit033	跌 跌打损伤
添	tʰim55	添 添加
舔	tʰim24	舔 以舌取物
帖	tʰip033	帖 请帖
貼	tʰip033	贴 张贴
甜	tʰim11	甜 甜蜜
疊	tip022	叠 折叠
碟	tip022	碟 碟子
牒	tip022	牒 通牒
蝶	tip022	蝶 蝴蝶
諜	tip022	谍 间谍
拈	nim55	拈 拈花惹草
念	nim22	念 想念
兼	kim55	兼 兼职
挾	kap033	挟 挟菜
謙	him55	谦 谦虚
歉	hip022	歉 道歉
嫌	him22	嫌 嫌弃
協	hip022	协 协作
俠	hap022	俠 侠义，大侠
法	fat033	法 办法
泛	fan33	泛 广泛
凡	fan11	凡 凡是
帆	fan11	帆 船帆
范	fan22	范 姓
範	fan22	范 规范
犯	fan22	犯 犯法
乏	fat022	乏 乏力
稟	pɐn24	禀 禀报
品	pɐn24	品 品德
賃	∅iɐm33	赁 租赁
林	lɐm11	林 树林
淋	lɐm11	淋 淋雨
臨	lɐm11	临 临时
立	lɐp022	立 立正
笠	lɐp055	笠 斗笠
粒	nɐp055	粒 颗粒
浸	tsɐm33	浸 浸水
侵	tsʰɐm55	侵 侵略
寢	tsʰɐm24	寝 寝室
集	tsap022	集 集体
彿	fɐt055	佛 仿佛
焚	fɐn11	焚 焚烧
墳	fɐn11	坟 坟墓
憤	fɐn33	愤 愤怒
忿	fɐn33	忿 忿忿不平
份	fɐn22	份 一份
佛	fɐt022	佛 佛像
文	mɐn11	文 论文
紋	mɐn11	纹 花纹
蚊	mɐn55	蚊 蚊香
聞	mɐn11	闻 新闻
吻	mɐn33	吻 接吻
刎	mɐn33	刎 自刎
問	mɐn22	问 问问题
物	mɐt022	物 物理
勿	mɐt022	勿 非礼勿视
君	kwɐn55	君 君子
軍	kwɐn55	军 参军
屈	wɐt055	屈 委屈
羣	kwʰɐn11	群 群众
裙	kwʰɐn11	裙 连衣裙，裙子
郡	kwɐn22	郡 郡主
掘	kwat022	掘 挖掘，掘墓
倔	wɐt055	倔 倔强
熏	wɐn55	熏 熏陶；熏蚊子
勳	wɐn55	勋 勋章
葷	wɐn11	荤 荤菜
薰	wɐn55	薰 薰衣草
訓	fɐn22	训 教训
云	wɐn11	云 人云亦云
雲	wɐn11	云 白云
耘	wɐn11	耘 耕耘
韻	wɐn24	韵 韵味
運	wɐn22	运 运气
暈	wɐn11	晕 晕车
幫	pɔŋ55	帮 帮忙
榜	pɔŋ24	榜 榜样
謗	pɔŋ33	谤 诽谤
博	pɔk033	博 博士
滂	pʰɔŋ11	滂 滂沱
泊	pɔk033	泊 梁山泊
旁	pʰɔŋ11	旁 旁边
螃	pʰɔŋ11	螃 螃蟹
傍	pʰɔŋ11	傍 傍晚
傍	pɔŋ33	傍 依傍
薄	pɔk022	薄 薄弱
泊	pɔk033	泊 停泊，淡泊
忙	mɔŋ11	忙 农忙
芒	mɔŋ11	芒 芒种
茫	mɔŋ33	茫 茫然
莽	mɔŋ33	莽 鲁莽
蟒	mɔŋ33	蟒 蟒蛇
莫	mɔk022	莫 莫非；姓
膜	mɔk022	膜 薄膜
嗓	sɔŋ24	嗓 嗓子
喪	sɔŋ33	丧 丧失
索	sɔk033	索 绳索
岡	kɔŋ55	冈 井冈山
崗	kɔŋ55	岗 站岗
剛	kɔŋ55	刚 刚好
綱	kɔŋ55	纲 大纲
鋼	kɔŋ33	钢 钢铁，炼钢
缸	kɔŋ55	缸 水缸
杠	kɔŋ33	杠 抬物用具，高低杠
各	kɔk033	各 各位
閣	kɔk033	阁 阁下；阁楼
擱	kɔk033	搁 耽搁
康	hɔŋ55	康 健康
糠	hɔŋ55	糠 谷糠，米糠
慷	kʰɔŋ24	慷 慷慨
抗	kʰɔŋ33	抗 反抗
昂	ŋɔŋ11	昂 昂首，高昂
腭	ŋɔk022	腭 上腭
鱷	ŋɔk022	鳄 鳄鱼
鄂	ŋɔk022	鄂 湖北简称
行	hɔŋ11	行 银行
杭	hɔŋ11	杭 杭州
航	hɔŋ11	航 航行
鶴	hɔk022	鹤 仙鹤
惡	∅ɔk033	恶 善恶，恶霸
娘	niɔŋ11	娘 爹娘
釀	∅iɔŋ22	酿 酿酒
良	liɔŋ11	良 良好
凉	liɔŋ11	凉 凉快
量	liɔŋ11	量 量尺寸
糧	liɔŋ11	粮 粮食
梁	liɔŋ11	梁 梁山；姓
粱	liɔŋ11	粱 高粱
兩	liɔŋ33	两 两个
兩	liɔŋ33	两 斤两
亮	liɔŋ22	亮 天亮
諒	liɔŋ11	谅 原谅
輛	liɔŋ24	辆 车辆
量	liɔŋ22	量 数量
略	l∅k022	略 战略
掠	l∅k022	掠 掠夺
將	tsiɔŋ55	将 将来；将军
漿	tsiɔŋ55	浆 浆糊
蔣	tsiɔŋ24	蒋 蒋介石
槳	tsiɔŋ24	桨 木桨
獎	tsiɔŋ24	奖 奖品
將	tsiɔŋ33	将 大将，将士
醬	tsiɔŋ33	酱 酱油，辣椒酱
爵	tsiɔk033	爵 爵位
雀	tsiɔk033	雀 麻雀
槍	tsʰiɔŋ55	枪 手枪
搶	tsʰiɔŋ24	抢 抢东西
菖	tsʰiɔŋ55	菖 菖蒲
娼	tsʰiɔŋ55	娼 娼妓
厰	tsʰɔŋ24	厂 厂长
唱	tsʰiɔŋ33	唱 唱歌
倡	tsʰiɔŋ55	倡 提倡
綽	tsʰiɔk033	绰 绰号；绰绰有余
焯	tsʰiɔk033	焯 把菜放在开水里焯一焯
商	siɔŋ55	商 商业
傷	siɔŋ55	伤 伤害
賞	siɔŋ24	赏 欣赏
晌	hiɔŋ24	晌 晌午
餉	hiɔŋ24	饷 军饷
常	siɔŋ11	常 经常
嘗	siɔŋ11	尝 品尝
裳	siɔŋ11	裳 衣裳
償	siɔŋ11	偿 赔偿
上	siɔŋ33	上 上山（动）
尙	siɔŋ24	尚 和尚
上	siɔŋ22	上 上面（名）
芍	tsiɔk033	芍 芍药花；白芍
壤	∅iɔŋ33	壤 土壤
讓	∅iɔŋ22	让 让座
若	∅iɔk022	若 若无其事
弱	∅iɔk033	弱 弱点
疆	kiɔŋ55	疆 新疆
僵	kiɔŋ55	僵 僵硬
薑	kiɔŋ55	姜 生姜
繮	kiɔŋ55	缰 缰绳
姜	kiɔŋ55	姜 姜太公，姓
脚	kiɔk033	脚 赤脚
卻	kʰiɔk033	却 退却
强	kʰiɔŋ11	强 强大
强	kʰiɔŋ33	强 勉强
仰	∅iɔŋ33	仰 仰视
虐	∅iɔk022	虐 虐待
瘧	∅iɔk022	疟 疟疾
香	hiɔŋ55	香 香气
鄕	hiɔŋ55	乡 乡下
享	hiɔŋ24	享 分享
響	hiɔŋ24	响 音响
向	hiɔŋ33	向 向前
央	∅iɔŋ55	央 中央
秧	∅iɔŋ55	秧 插秧
殃	∅iɔŋ55	殃 遭殃
約	∅iɔk033	约 约定
羊	∅iɔŋ11	羊 绵羊
洋	∅iɔŋ11	洋 海洋
楊	∅iɔŋ11	杨 杨树
陽	∅iɔŋ11	阳 太阳
揚	∅iɔŋ11	扬 发扬
瘍	∅iɔŋ11	疡 溃疡
邦	pɔŋ55	邦 城邦；刘邦
綁	pɔŋ24	绑 松绑
剝	mɔk055	剥 剥削
駁	pɔk033	驳 反驳
胖	pun22	胖 肥胖
樸	pʰɔk033	朴 朴素
龐	pʰɔŋ11	庞 庞大
棒	pʰaŋ33	棒 木棒
蚌	pʰɔŋ24	蚌 蚌壳
雹	pɔk022	雹 冰雹
樁	tsʰɔŋ55	桩 打桩
桌	tsʰiɔk033	桌 书桌
卓	tsʰiɔk033	卓 卓越
琢	tiɔk033	琢 琢磨
啄	tiɔk033	啄 啄木鸟
戳	tsʰɔk033	戳 戳破，戳穿
撞	tsɔŋ22	撞 碰撞
濁	tsok022	浊 清浊，浑浊
捉	tsok055	捉 捕捉
窗	tsʰiɔŋ55	窗 窗户
鐲	tsok055	镯 镯子，手镯
雙	siɔŋ55	双 一双
朔	sɔk033	朔 朔月（初一）
江	kɔŋ55	江 长江
扛	kʰɔŋ24	扛 肩扛
肛	kɔŋ55	肛 肛门
講	kɔŋ24	讲 讲话
港	kɔŋ24	港 港口
降	kɔŋ33	降 下降
虹	hoŋ11	虹 彩虹
覺	kɔk033	觉 知觉
角	kɔk033	角 角色
餃	kau24	饺 水饺
腔	hɔŋ55	腔 口腔
確	kʰɔk033	确 的确
殼	hɔk033	壳 蛋壳
嶽	ŋɔk022	岳 五岳
岳	ŋɔk022	岳 姓
樂	ŋɔk022	乐 音乐
降	hɔŋ11	降 投降
項	hɔŋ22	项 项链
巷	hɔŋ22	巷 小巷，街巷
學	hɔk033	学 学习
握	∅ɐk055	握 握手
崩	pəŋ55	崩 山崩
北	pɐk055	北 北方
朋	pʰeŋ11	朋 朋友
墨	mɐk022	墨 笔墨
默	mak022	默 默写
登	təŋ55	登 登山
燈	təŋ55	灯 灯光
等	təŋ24	等 高等
凳	təŋ33	凳 凳子
證	tseŋ33	证 证明
症	tseŋ33	症 病症
織	tsek055	织 织布
職	tsek055	职 职务
稱	tsʰeŋ55	称 称呼；称重量
稱	tsʰeŋ55	称 相称，称心
秤	tsʰeŋ33	秤 一杆秤
乘	seŋ11	乘 乘法
繩	seŋ11	绳 麻绳
剩	seŋ22	剩 剩余
食	sek022	食 食物
蝕	sek022	蚀 月蚀，腐蚀
