#漢字	音標	解釋
多	tou44	多：多少，多数
韶	ʃau22	韶：韶山，韶关
紹	ʃau51	绍：绍兴，介绍
邵	ʃau51	邵：姓
饒	ȵiau22	饶：求饶，饶他
橈	ȵiau22	桡：桨
擾	ʒau31	扰：打扰，扰乱
繞	ȵiau31	绕：围绕
繞	ȵiau31	绕：绕线
驕	kiau44	骄：骄傲
嬌	kiau44	娇：撒娇，娇滴滴
矯	kʰiau22	矫：矫枉过正
蕎	kʰiau22	荞：荞麦
僑	kʰiau22	侨：华侨
橋	kʰiou22	桥：一座桥
喬	kʰiau22	乔：姓
翹	kʰiau51	翘：翘尾巴
轎	kʰiou51	轿：轿子，抬轿
囂	ʃau44	嚣：嚣张
妖	ʒau44	妖：妖怪
邀	ʒau44	邀：邀请
腰	ʒau44	腰：身体部位
要	ʒau44	要：要求
夭	ʒau44	夭：夭折
要	ʒau51	要：重要
搖	ʒau22	摇：摇来摇去，摇摆，摇篮
謠	ʒau22	谣：民谣，童谣
姚	ʒau22	姚：姓，姚文元
窑	ʒou22	窑：官窑，烧窑
舀	ʒou31	舀：舀水
遙	ʒau22	遥：逍遥
耀	ʒau31	耀：耀眼，照耀
鷂	ʒau51	鹞：鹞鹰，纸鹞
刁	tiau44	刁：刁钻，嘴刁
雕	tiau44	雕：根雕，雕刻
貂	tiau44	貂：水貂，一种动物，皮毛名贵，貂皮
凋	tiau44	凋：凋谢，凋零
鳥	ȵiau44	鸟：有无避讳
吊	tiau51	吊：上吊
釣	tiau51	钓：上钓，钓鱼
挑	tʰiau44	挑：挑刺，挑选，挑担
跳	tʰiau51	跳：跳高，跳起
條	tʰiau22	条：条件，字条
調	tʰiau22	调：调和，调整
跳	tʰiau51	跳：走。小孩不高兴跺脚的说法。
調	tʰiau22	调：调动，调查
掉	tiau51	掉：吃掉，走掉
調	tʰiau51	调：音调
尿	ȵiau51	尿：小便，尿素
遼	liau22	辽：辽宁
聊	liau22	聊：聊天，无聊
寥	liau22	寥：寥寥无几
廖	liau51	廖：姓
撩	liau22	撩：撩起来
了	liau31	了：了结
瞭	liau22	了：明了，了解
僚	liau22	僚：官僚
料	liau51	料：肥料，材料
鐐	liau22	镣：脚镣
蕭	siau44	萧：姓
簫	siau44	箫：乐器，吹箫
澆	tsiau44	浇：浇花
繳	kiau31	缴：缴枪，上缴
僥	ʃau44	侥：侥幸
叫	kiau51	叫：小孩哭，大喊大叫
撬	kʰiau51	撬：撬门
竅	kʰiau51	窍：诀窍，窍门
堯	ʒau31	尧：尧舜禹
曉	ʃau31	晓：天光晓（启明星），黄昏晓（长庚星），晓得
幺	ʒau44	幺：幺二三
吆	ʒau44	吆：吆喝
杳	miau31	杳：杳无音信
剖	pʰiau31	剖：解剖
某	meu44	某：某人
畝	meu31	亩：一亩田
牡	miau31	牡：牡丹
母	mei44	母：亲家母
拇	mu44	拇：拇指
戊	wu51	戊：戊戌变法
茂	miau31	茂：茂盛
貿	miau31	贸：贸易，外贸
兜	teu44	兜：兜风
斗	teu31	斗：十升为斗
抖	teu31	抖：发抖
陡	teu31	陡：山很陡
鬥	teu51	斗：斗争，批斗
偸	tʰeu44	偷：偷东西
㪗	tʰeu31	㪗：展开，㪗气，把纸团㪗开
透	tʰeu51	透：透明，看透
頭	tʰeu22	头：脑袋，开头，头发，纸头
投	tʰeu22	投：投降
豆	tʰeu51	豆：黄豆，豆芽
痘	tʰeu51	痘：出痘，水痘
逗	tʰeu51	逗：逗号，引逗
樓	leu22	楼：上楼，楼房
摟	leu31	搂：搂取（挖）
簍	leu31	篓：竹篓，鱼篓
摟	leu31	搂：搂抱
漏	leu51	漏：漏雨
陋	leu51	陋：简陋
走	tseu31	走：走路，行走
奏	tsʰeu51	奏：节奏
湊	tsʰeu51	凑：凑数
叟	sou44	叟：童叟无欺
嗽	seu51	嗽：咳嗽
勾	keu44	勾：勾引，勾芡，勾心斗角
鈎	keu44	钩：鱼钩，打钩
溝	keu44	沟：阴沟，畎沟，沟通
狗	keu31	狗：动物
苟	keu31	苟：苟且偷生
垢	keu51	垢：污垢
够	keu51	够：足够，够了
彀	keu51	够：往上够
構	keu51	构：结构，构造
購	keu51	购：购买，采购
勾	keu51	勾：勾当
摳	kʰeu51	抠：挖，掏
瞘	eu44	眍：眼眍下去
口	kʰeu31	口：嘴，门口，口头，开口
叩	kʰeu51	叩：叩头
扣	kʰeu51	扣：扣子，纽扣，扣钱
寇	kʰeu51	寇：姓，倭寇
藕	ŋeu44	藕：植物
偶	ŋeu31	偶：配偶
偶	ŋeu31	偶：偶然
吼	hou22	吼：
侯	heu22	侯：诸侯，姓
喉	heu22	喉：喉咙
猴	heu22	猴：动物，属相
后	heu51	后：皇后
厚	heu51	厚：厚薄，忠厚
後	heu51	后：前后，后来
候	heu51	候：等候，候车
歐	eu44	欧：姓，欧洲
甌	eu44	瓯：瓯江
區	eu44	区：姓
嘔	eu31	呕：呕吐
毆	eu31	殴：殴打
漚	eu51	沤：久浸水中
慪	eu51	怄：怄气
否	feu31	否：否定
不	put031	不：
富	fu51	富：有钱，富贵
副	fu51	副：正副
浮	feu22	浮：浮动，轻浮
負	fu51	负：负担，负责
婦	fu51	妇：妇女、媳妇
復	fuk031	复：复兴，唧唧复唧唧
謀	meu22	谋：阴谋，谋财
矛	mau22	矛：矛盾，长矛
紐	neu31	纽：纽扣，纽带
扭	ȵiu31	扭：扭动，用两个手指掐
流	liu22	流：水流，流动
留	liu22	留：留下，停留
劉	liu22	刘：姓，刘备
榴	liu22	榴：石榴
琉	liu22	琉：琉璃
硫	liu22	硫：硫磺
柳	liu31	柳：柳树，姓
溜	liu44	溜：溜走，滑
餾	liu51	馏：蒸馏水
廖	liau51	廖：姓
揪	tsiu44	揪：揪头发
酒	tsiu31	酒：喝酒，酒精
秋	tsʰiu44	秋：秋天，春秋
秋	tsʰiu44	秋：秋千
鰍	tsʰiu44	鳅：泥鳅
就	tsʰiu51	就：成就，就去
修	siu44	修：修理，装修
羞	siu44	羞：害羞，羞愧
秀	siu51	秀：清秀，秀才
繡	siu51	绣：绣花，刺绣
銹	siu51	锈：生锈
宿	siuk031	宿：星宿
囚	kʰiu22	囚：囚笼，囚犯
泅	tsʰiu22	泅：游水
袖	tsʰiu51	袖：袖子，领袖
肘	tsiu31	肘：手肘，肘子（蹄膀）
晝	tsiu51	昼：白天，昼夜中午，日昼
抽	tʃʰiu44	抽：抽出，抽屉
丑	tʃʰiu31	丑：地支名
綢	tʃʰiu22	绸：绸缎，丝绸
稠	tʃʰiu22	稠：稠密
籌	tʃʰiu22	筹：筹码，筹备
紂	tʃʰiu51	纣：商纣王
宙	tsiu51	宙：宇宙
鄒	tseu44	邹：姓
皺	tsiu51	皱：老人皮肤皱，皱纹
縐	tau22	绉：文绉绉，绉纱
矁	tsʰiu44	瞅：看，瞧
愁	seu22	愁：发愁，愁眉苦脸
驟	tsʰeu31	骤：步骤，暴风骤雨
搜	seu44	搜：搜查，搜身
颼	sou44	飕：凉飕飕
餿	seu44	馊：饭馊了
蒐	seu44	搜：搜集
瘦	seu51	瘦：人瘦了
漱	su51	漱：漱口
周	tʃiu44	周：姓
舟	tʃiu44	舟：舟山
州	tʃiu44	州：杭州
洲	tʃiu44	洲：亚洲
週	tʃiu44	周：一周，周年
帚	tsiu31	帚：扫帚
咒	tʃiu51	咒：咒人
醜	tʃʰiu31	丑：难看，丑恶
臭	tʃʰiu51	臭：香臭
收	ʃiu44	收：秋收，收集
手	ʃiu31	手：身体部位，手艺，手段
首	ʃiu31	首：首都
守	ʃiu31	守：看守（养牛，看东西），保守，守卫
獸	tʃʰiu51	兽：野兽，兽性
酬	tʃʰiu22	酬：报酬，酬谢
仇	tʃʰiu22	仇：报仇
受	ʃiu51	受：接受，受苦，受记（把仇恨等记在心里）
壽	ʃiu51	寿：做寿，寿星
授	ʃiu51	授：教授
售	tʃʰiu22	售：出售，售货
柔	jiu22	柔：温柔，柔软
揉	jiu22	揉：揉痛的地方，揉眼睛。揉面团
鳩	kiu44	鸠：斑鸠
鬮	kiu44	阄：抓阄
糾	kiu44	纠：纠缠
九	kiu22	九：数字
久	kiu22	久：长久，久仰
韭	kiu22	韭：韭菜
灸	kiu51	灸：针灸
救	kiu51	救：救命，求救
究	kiu44	究：研究，究竟
丘	kʰiu44	丘：一丘田，姓
求	kʰiu22	求：要求，求雨
球	kʰiu22	球：汽球，地球
仇	tʃʰiu22	仇：姓
臼	kʰiu44	臼：石臼，脱臼
舅	kʰiu44	舅：舅舅，舅妈
咎	kiu44	咎：咎由自取
舊	kʰiu51	旧：新旧，旧货
柩	kiu51	柩：已装尸的棺材
牛	ȵiu22	牛：吹牛，一头牛
休	siu44	休：休息，退休
朽	ʃiu31	朽：朽木，腐朽，永垂不朽
嗅	tʃʰiu51	嗅：嗅觉，闻
優	jiu22	优：优秀
憂	jiu22	忧：担忧，忧伤
尤	jiu22	尤：尤其
郵	jiu22	邮：邮票，邮电
有	jiu44	有：有无，拥有
友	jiu31	友：朋友，友谊
又	jiu51	又：又来了，又红又专
右	jiu51	右：右面，左右
祐	jiu51	佑：保佑
由	jiu22	由：理由，由来
油	jiu22	油：菜油，油滑
游	jiu22	游：游泳，旅游
猶	jiu22	犹：犹豫
悠	jiu22	悠：悠闲
酉	jiu44	酉：地支第十
莠	siu51	莠：良莠不齐
誘	jiu51	诱：引诱，诱惑
柚	jiu51	柚：一种水果
釉	jiu51	釉：釉彩，上釉
彪	piau44	彪：林彪
謬	miau31	谬：谬论
丟	tiu44	丢：扔，丢失
糾	kiu44	纠：纠正
幽	jiu22	幽：幽默
幼	jiu51	幼：幼稚，幼小
耽	tam44	耽：耽误，耽搁
搭	tap031	搭：衣服搭在肩上，搭讪
答	tap031	答：回答
貪	tʰam44	贪：贪心
探	tʰam31	探：探路，试探
踏	tʰap033	踏：脚踏，践踏
搨	tʰap033	搨：搨本
潭	tʰam22	潭：溪中深处，湘潭，鹰潭
譚	tʰam22	谭：姓，谭震林
壜	tʰam22	坛：酒坛
沓	tʰap033	沓：一沓纸
南	lam22	南：南方，东南
男	lam22	男：男人
納	lap033	纳：出纳
婪	lan22	婪：贪婪
拉	la44	拉：推拉，拖拉，拉萨
垃	la44	垃：垃圾
簪	ki51	簪：发簪
參	tsʰam44	参：参加，参军
慘	tsʰam31	惨：悲惨
蠶	tsʰam22	蚕：动物
雜	tsʰap033	杂：复杂，杂货
感	kam31	感：感谢，感动
蛤	kʰap031	蛤：蛤蜊，花蛤
合	hap033	合：十合一升
鴿	kap031	鸽：鸽子
堪	kʰam44	堪：难堪，不堪
龕	kʰam44	龛：神龛
坎	kʰam31	坎：坎坷
砍	kʰam31	砍：砍柴
勘	kʰam44	勘：勘探，勘误
喝	hɔt031	喝：喝酒
含	ham22	含：包含，含在嘴里
函	ham22	函：信函，函授
撼	ham31	撼：震撼
憾	ham31	憾：遗憾
合	hap033	合：合作
盒	hap033	盒：盒子
庵	am44	庵：尼姑庵
揞	ep031	揞：手覆、揞住
暗	am51	暗：不亮，黑暗
擔	tam44	担：挑，拿，担任
膽	tam31	胆：胆小，苦胆
擔	tam44	担：挑担，担子
坍	tʰap033	坍：坍下来，坍塌
毯	tʰan31	毯：毯子，毛毯
塔	tʰap031	塔：一座塔
榻	tʰap033	榻：床榻
遢	tʰap033	遢：邋遢
溻	tap031	溻：湿溻溻，溻汗
塌	tʰap033	塌：倒塌
談	tʰam22	谈：谈话，会谈
痰	tʰam22	痰：吐痰
淡	tʰam51	淡：咸淡，浓淡
藍	lam22	蓝：蓝色，深蓝
籃	lam22	篮：菜篮，篮子
覽	lam51	览：阅览，展览
攬	lam51	揽：总揽，包揽
欖	lam31	榄：橄榄
濫	lam51	滥：泛滥
纜	lam51	缆：粗索，缆绳
臘	lap033	腊：腊肉，腊月
蠟	lap033	蜡：蜡烛
鑞	lap033	镴：锡镴
慚	tsʰam22	惭：惭愧
暫	tsʰiam51	暂：暂时，短暂
三	sam44	三：数字
甘	kam44	甘：甘蔗，甘心
柑	kam44	柑：芦柑，柑桔
泔	kam44	泔：洗米水
敢	kam31	敢：敢不敢，勇敢
橄	kam31	橄：橄榄
磕	kʰei51	磕：磕头
蚶	kan51	蚶：蚶子，贝壳类
憨	ham31	憨：傻
喊	ham51	喊：叫喊
站	tsan31	站：站立
劄	tsap031	扎：针扎，札记
賺	tsʰɔn51	赚：赚钱
站	tsʰam51	站：车站
斬	tsam31	斩：
蘸	tsiam31	蘸：蘸酱油
眨	tsap031	眨：眨眼
插	tsʰap031	插：插在腰里，插秧
饞	tsʰan22	馋：嘴馋
讒	tsʰan22	谗：谗言
閘	tsʰap033	闸：闸门
煠	tsa51	炸：把食物放入汤或煮沸的油里弄熟
杉	tsʰam51	杉：杉树，杉木
尷	kam44	尴：尴尬
減	kam31	减：减掉点饭，加减
鹼	kiam31	碱：发酵用
夾	kiak033	夹：夹子，夹东西
掐	kʰak033	掐：掐虱子，掐脖子，用手指掐
恰	kʰap031	恰：恰当
喊	ham51	喊：叫喊，呻吟
鹹	ham22	咸：咸淡
咸	ham22	咸：咸丰
陷	ham31	陷：陷害，陷进去，陷井
餡	ham51	馅：馅心，饺子馅
狹	hap033	狭：窄，狭窄
峽	ʃap033	峡：峡口，三峡
洽	kʰap031	洽：洽谈，融洽
攙	tsʰan22	搀：扶，搀扶
懺	tsʰien44	忏：忏悔，打忏
衫	sam44	衫：衬衫，布衫
監	kam51	监：监视，牢监
鑑	kam51	鉴：鉴定
監	kam51	监：国子监
甲	kap031	甲：天干第一
胛	kap031	胛：肩胛
巖	ŋam22	岩：石头，岩石
銜	ham22	衔：叼在嘴里，头衔，军衔
艦	kam51	舰：军舰
檻	kam44	槛：门槛
匣	kap031	匣：匣子，箱匣
鴨	ap031	鸭：动物
押	ap031	押：抵押，押送
壓	ap031	压：压力，镇压
貶	pian31	贬：贬值，褒贬
黏	tsam44	黏：黏米，黏起来
聶	ȵiap031	聂：姓
鑷	kiap031	镊：镊子
躡	ȵiap031	蹑：蹑手蹑脚
廉	liam22	廉：廉洁，清廉
鐮	liam22	镰：镰刀
簾	liam22	帘：窗帘，帘子
斂	liam22	敛：收敛
殮	liam31	殓：殡殓
獵	liap033	猎：打猎
尖	tsiam44	尖：尖刀，眼睛尖，铅笔尖儿
殲	tsʰiam22	歼：～灭
接	tsiap031	接：接人，接起来
籤	tsʰiam44	签：竹签，求签
簽	tsʰiam44	签：签字
扦	tsʰap031	扦：插，扦足，扦花
妾	tsʰiam51	妾：小老婆
潛	siam22	潜：潜水，潜伏，于潜
漸	tsʰiam51	渐：逐渐，渐渐
捷	tsʰiap033	捷：捷报，大捷
暹	siam22	暹：暹罗
纖	siam22	纤：纤维
沾	tʃam44	沾：沾亲带故
粘	ȵiam22	粘：粘贴
瞻	tʃam44	瞻：高瞻远瞩，瞻仰
占	tʃam51	占：占卜
佔	tʃam51	占：占领，占地方
摺	tʃap031	摺：折被子、纸
褶	tʃap031	褶：褶皱
陝	ʃam31	陕：陕西
閃	ʃam31	闪：闪电
攝	ȵiap031	摄：摄影
蟾	ʃam22	蟾：蟾酥
涉	ʃap033	涉：干涉，涉及
染	ȵiam51	染：污染，染色
冉	ʒen22	冉：冉冉上升
檢	kiam31	检：检查，体检
臉	lien31	脸：脸色，花脸
鉗	kʰiam22	钳：老虎钳，钳子
儉	kʰiam51	俭：节俭，俭朴
驗	ȵiam51	验：试验，验证
險	ʃam31	险：危险，险恶
淹	ʒam44	淹：淹没，淹死
閹	ʒam44	阉：阉割
掩	ʒam31	掩：掩护
厭	ʒam51	厌：讨厌，厌烦
炎	ʒam22	炎：消炎，炎热
鹽	ʒam22	盐：调味品
閻	ʒam22	阎：阎王，姓
檐	ʒam22	檐：屋檐，檐头
豔	ʒam51	艳：鲜艳，艳丽
鹽	ʒam44	盐：动词，腌制
焰	ʒam51	焰：火焰，焰火
葉	ʒap033	叶：姓，树叶
頁	ʒap033	页：一页两页
劍	kiam51	剑：宝剑
劫	kiap031	劫：抢劫，劫数
欠	kʰiam51	欠：欠债，拖欠
怯	kʰiɔk031	怯：胆怯
嚴	ȵiam22	严：严格，姓
儼	ȵiam22	俨：俨然，高傲
釅	ȵiam22	酽：酽茶
業	ȵiap033	业：事业，业余
鍁	tʃʰiau44	锨：掘土或铲东西用的工具
脅	ʃak033	胁：威胁
醃	ʒiam44	醃：腌制
腌	ʒiam44	腌：
掂	tien51	掂：掂分量
點	tiam31	点：一点，点头
踮	tien51	踮：踮脚尖
店	tiam51	店：开店，商店
跌	tiek031	跌：跌打损伤
添	tʰiam44	添：增添，添加
舔	ʃei44	舔：以舌取物
帖	tʰiap031	帖：请帖
貼	tiap031	贴：贴邮票，张贴
甜	tʰiam22	甜：糖的滋味
簟	tsʰiak033	簟：竹席，晒东西用
疊	tʰiap033	叠：折叠，堆叠
碟	tʰiap033	碟：似盘而小
牒	tʰiap033	牒：通牒，文牒
蝶	tʰiap033	蝶：蝴蝶
諜	tʰiap033	谍：间谍
鮎	ȵiam22	鲇：鲇魚（鲶）
拈	ȵiam44	拈：用两三个手指头夹、捏取物，拈轻怕重
念	ȵiam51	念：念经，想念
兼	kiam44	兼：兼职
搛	kiap033	搛：挟菜
挾	kiap033	挟：挟菜
莢	kiap033	荚：豆荚
謙	kʰiam44	谦：谦虚
歉	kʰiam51	歉：道歉，歉意
嫌	ʃam22	嫌：嫌弃
協	ʃap033	协：协作，协会
俠	ʃap033	侠：侠义，武侠
法	fak031	法：法律，办法
泛	fam51	泛：广泛，泛滥
凡	fam22	凡：下凡，凡是
帆	fam22	帆：船帆
範	fam51	范：师范，模范
范	fam51	范：姓
犯	fam51	犯：犯法，犯人
梵	fam22	梵：梵文
乏	fat033	乏：乏力，缺乏
稟	pin31	禀：禀报
品	pʰin31	品：品德，商品
賃	lin51	赁：租赁
林	lim22	林：姓，树林
淋	lim22	淋：淋雨
臨	lin22	临：临时，面临
凜	lim31	凛：威风凛凛
立	lip033	立：立正，建立
笠	lik031	笠：斗笠，笠帽
粒	lik031	粒：一粒，颗粒
怎	tsem44	怎：怎么
浸	tsim51	浸：泡在水里
侵	tsʰim44	侵：侵略，入侵
寢	tsʰim31	寝：寝室，就寝
緝	sit033	缉：通缉，缉鞋底，缉毛衣
集	sip033	集：集体，召集
輯	sip033	辑：编辑
心	sim44	心：身体，心思
芯	sim44	芯：灯芯，灯芯绒，笔芯
尋	tsʰim22	寻：找，寻死
習	sip033	习：学习，习惯
襲	sip033	袭：袭击、抄袭
砧	tsem44	砧：砧板，铁砧
沉	tʃʰim22	沉：沉浮
蟄	tʃʰip033	蛰：惊蛰
簪	tsam44	簪：发簪
參	tsʰam44	参：参差
森	sen44	森：森林
參	sem44	参：人参
滲	tsʰam51	渗：渗透，渗水
澀	sek031	涩：青苹果味
針	tʃim44	针：缝衣针，针线，针对
斟	tʃim44	斟：斟酌，斟酒
枕	tʃim31	枕：枕头
枕	tʃim31	枕：动词
執	tʃip031	执：执行，执法
汁	tʃip031	汁：菜汁，果汁，墨汁
葚	ʃim31	葚：桑葚
深	tʃʰim44	深：深浅，深入
沈	ʃim31	沈：姓，沈阳
嬸	sin31	婶：叔之妻
審	ʃin31	审：审问，会审
濕	ʃit031	湿：潮湿，很湿，湿溻溻，湿润
甚	ʃit031	甚：甚至，欺人太甚
十	ʃip033	十：数字
什	tsʰap033	什：果什，什物
拾	ʃip033	拾：拾金不昧
壬	ȵim22	壬：天干第九
任	ʒim51	任：姓
任	ʒin51	任：任务
紝	ʒin31	纴：缝纴
入	ȵip033	入：入口，进入
今	kin44	今：今天，今年，如今
金	kim44	金：金银，金子
禁	kim51	禁：禁不住
襟	kim51	襟：衣的前幅，连襟
錦	kim31	锦：锦旗，锦绣
禁	kim51	禁：禁止
急	kip031	急：着急，急忙
級	kʰit031	级：级别，年级
給	kei31	给：供给
欽	kʰim44	钦：钦佩
撳	kʰim51	揿：手用力捏住，往下按
泣	lip031	泣：哭泣
琴	kʰim22	琴：弹琴
禽	kʰim22	禽：家禽
擒	kʰim22	擒：擒拿
及	kʰip033	及：不及，及时
吟	nin22	吟：呻吟，吟诗
吸	kʰit031	吸：呼吸，吸住
音	jim44	音：声音，音乐
陰	jim44	阴：阴天，乌阴
飮	jim51	饮：饮酒，米汤
陰	jim44	阴：屋子里很阴
飮	jim51	饮：饮马
淫	jim22	淫：淫荡，浸淫
丹	tan44	丹：人丹
單	tan44	单：单独
撣	tʰan22	掸：鸡毛掸子，掸埲尘
疸	tam31	疸：黄疸
旦	tan51	旦：元旦
灘	tʰan44	滩：沙滩
攤	tʰan44	摊：摆摊，摊开
癱	tʰan44	瘫：瘫痪，风瘫
坦	tʰan31	坦：坦白，坦克
歎	tʰan51	叹：叹气，感叹
炭	tʰan51	炭：烧炭，木炭
獺	lai51	獭：水獭
檀	tʰan22	檀：檀香
壇	tʰam22	坛：天坛
彈	tʰan22	弹：弹琴
誕	tan51	诞：诞生
但	tan31	但：但是，不但
彈	tʰan22	弹：子弹，弹子
蛋	tʰan51	蛋：鸡蛋，皮蛋
達	tʰat033	达：达到，到达
難	lan22	难：困难，很难
難	lan51	难：落难，逃难
捺	la51	捺：撇捺，捺下去
蘭	lan22	兰：兰花
攔	lan22	拦：拦住
欄	lan22	栏：栏杆，猪栏
懶	lan44	懒：懒惰，很懒
爛	lan51	烂：腐烂，烂掉
辣	lat033	辣：味道，泼辣
瘌	lat031	瘌：瘌痢头
贊	tsan51	赞：赞助
灒	tʃit031	灒：溅水
讚	tsan51	赞：称赞
餐	tsʰɔn44	餐：一餐饭，快餐
燦	tsʰan51	灿：灿烂
擦	tsʰat031	擦：擦洗
殘	tsʰan22	残：残疾，摧残
珊	san44	珊：珊瑚
散	san51	散：松散，鞋带散了
傘	san31	伞：雨伞
散	san51	散：散会，解散
撒	sa31	撒：撒化肥，撒种
薩	sat031	萨：菩萨，拉萨
干	kɔn44	干：天干地支
乾	kɔn44	干：干湿
肝	kɔn44	肝：身体，猪肝
竿	kɔn44	竿：竹竿
桿	kɔn44	杆：木杆
稈	kɔn31	秆：稻秆
擀	kɔn31	擀：擀面
趕	kɔn31	赶：赶走，追赶
幹	kɔn51	干：干部，能干
割	kɔt031	割：割稻
葛	kɔt031	葛：姓，诸葛亮
看	kʰɔn51	看：看守
刊	kʰan44	刊：报刊
看	kʰɔn51	看：看见
渴	hɔt031	渴：口渴，渴望
岸	ŋan51	岸：岸上，口岸
罕	hɔn31	罕：稀罕，罕见
漢	hɔn51	汉：汉族，好汉
熯	hɔk031	熯：用极少的油煎，菜放在上蒸，烘烤
喝	hɔt031	喝：喝采，吆喝
寒	hɔn22	寒：伤寒，小寒，寒冷
韓	hɔn22	韩：姓，韩国
旱	hɔn44	旱：干旱
捍	hɔn51	捍：捍卫
汗	hɔn51	汗：出汗
銲	hɔn51	焊：焊接，电焊
翰	hɔn51	翰：翰林，人名用字
安	ɔn44	安：安全，安放
鞍	ɔn44	鞍：马鞍
按	ɔn51	按：按照，按铃
案	ɔn51	案：人命案，档案
扮	pʰan51	扮：打扮，扮相
八	pat031	八：数字
盼	pʰan51	盼：盼望，期盼
辦	pʰan51	办：办法，怎么办
瓣	pʰan51	瓣：花瓣，叶子
拔	paŋ44	拔：拔秧，选拔
抹	mat031	抹：抹布
綻	tʰin51	绽：破绽，谷粒饱满，绽缝（衣服脱线）
盞	tsan31	盏：灯盏，酒盏，碗盏
札	tsap031	札：札记，信札
紮	tsap031	扎：扎紧，驻扎
鏟	tsʰan31	铲：镬铲，铲草
察	tsʰat031	察：察看，观察
山	san44	山：山顶，泰山
潺	kien44	潺：流水潺潺
產	san31	产：生产，共产党，做产母，产母娘
殺	sat031	杀：杀人，自杀
艱	kien44	艰：艰苦
簡	kien31	简：简单
柬	kien31	柬：请柬
揀	kien31	拣：挑选，拣菜
眼	ȵien31	眼：针眼，眼镜
閑	han22	闲：空闲，闲事
限	han51	限：有限，限制
莧	ham51	苋：苋菜，马齿苋
軋	tsap031	轧：被车轧，轧钢厂
班	pan44	班：班级，上班
斑	pan44	斑：雀斑，斑点
扳	pan44	扳：扳手，用力往后拉
頒	pan44	颁：颁布
板	pan31	板：黑板，石板
版	pan31	版：出版，版本
攀	pʰan44	攀：攀登，高攀
扳	pan44	扳：
蠻	man22	蛮：野蛮，蛮横
慢	man51	慢：慢车，快慢
棧	tsʰam31	栈：客栈，栈房，栈道
鍘	tsep031	铡：铡刀（包公的刑具，切中药、人参的工具）
刪	san44	删：删除
疝	san44	疝：疝气（大卵脬，小肠气）
奸	kien44	奸：奸臣，忠奸
諫	kien31	谏：谏议
澗	kien31	涧：两山之间的小溪
鐧	kien31	锏：车锏，杀手锏
顏	ȵien22	颜：颜色，姓
雁	ȵien51	雁：大雁，雁鹅
瞎	hat031	瞎：瞎子，眼瞎
轄	hɔt031	辖：直辖市，管辖
晏	ʒen51	晏：晚也，晏子
鞭	pien44	鞭：皮鞭，鞭策
編	pʰien44	编：编筐，编辑
變	pien51	变：改变，变化
別	pʰiet033	别：别针，别支笔在口袋
鼈	piet031	鳖：甲鱼，鳖壶（军用水壶）
篇	pʰien44	篇：一篇文章
偏	pʰien44	偏：偏偏，偏僻
騙	pʰien51	骗：骗人，欺骗
便	pʰien22	便：便宜
辯	pʰien51	辩：辩论
辨	pʰien51	辨：分辨，辨别
便	pʰien51	便：方便，便当
別	pʰiet033	别：分别，别人
綿	mien22	绵：海绵，绵延
棉	mien22	棉：棉花
免	mien44	免：免除，罢免
勉	mien31	勉：勉强，勉励
緬	mien31	缅：缅甸，缅怀
娩	mien31	娩：分娩
面	mien51	面：被面，面子
滅	mek033	灭：消灭，灭亡
碾	tʃen31	碾：农具，碾米
連	lien22	连：连长，大连
聯	lien22	联：对联，联系
列	liet033	列：排列，列宁
烈	liet033	烈：烈士，热烈
裂	liet033	裂：分裂，裂开
煎	tsien44	煎：煎药，煎鱼
剪	tsien31	剪：铰剪，剪东西
箭	tsien51	箭：射箭
濺	tsʰien51	溅：溅水
遷	tsʰien44	迁：迁移
淺	tsʰien31	浅：深浅，浅薄
錢	tsʰien22	钱：一块钱，姓
踐	tsien51	践：实践
賤	tsʰien51	贱：犯贱，贱价
仙	sien44	仙：神仙，仙丹
鮮	sien44	鲜：新鲜，鲜艳
鮮	sien31	鲜：朝鲜
癬	tsʰien31	癣：脚癣
綫	sien51	线：棉线，线索
薛	siet031	薛：姓，薛宝钗
泄	siet031	泄：排泄，泄漏，泄洪
涎	ʒen22	涎：流下的口水
羡	sien31	羡：羡慕
展	tʃen31	展：发展，展开
哲	tʃet031	哲：哲学，哲理
蜇	tʃet031	蜇：蝎子蜇人，海蜇
撤	tʃʰet033	撤：撤退
徹	tʃʰet033	彻：彻底
纏	tʃʰen22	缠：盘缠，纠缠
轍	tʃʰet033	辙：南辕北辙
澈	tʃʰet033	澈：清澈
氈	tʃʰan44	毡：油毛毡
戰	tʃen51	战：战斗
顫	tʃan44	颤：颤抖，打颤
折	tʃet031	折：打折，折扣
浙	tʃet031	浙：浙江
搧	ʃen51	搧：搧扇子
扇	ʃen51	扇：芭蕉扇
設	ʃet031	设：建设，设计
蟬	ʃam22	蝉：蝉儿，蝉蜕
禪	ʃam22	禅：禅师，禅宗
善	ʃen51	善：善良，面善
膳	ʃen51	膳：用膳，膳食
單	ʃen51	单：姓，单雄信
禪	ʃan22	禅：禅让
折	tʃet031	折：折本，摔折
然	ʒen22	然：然后，居然
燃	ʒen22	燃：点燃，燃烧
熱	ȵiet033	热：冷热，热烈
遣	kʰien31	遣：遣责，派遣
乾	kʰien22	乾：乾隆，乾坤
虔	kʰien22	虔：虔诚
犍	kʰien51	犍：犍为县
掮	kien44	掮：掮客（中介），扛
件	kʰien51	件：一件，事件
傑	kʰiet033	杰：杰出，豪杰
