#漢字	音標	解釋
多	tɔ453	多：多少
承	ʃeŋ13	承：继承
丞	ʃeŋ31	丞：丞相
殖	tʃek022	殖：繁殖
植	tʃek022	植：植物
仍	ŋeŋ13	仍：仍然
扔	weŋ453	扔：扔掉
棘	lat022	棘：棘手
極	kek022	极：南极
凝	ŋeŋ31	凝：凝固
興	heŋ33	兴：高兴
興	heŋ453	兴：兴旺
應	ieŋ33	应：应对，响应
鷹	ieŋ453	鹰：老鹰
應	ieŋ453	应：应该
憶	iek055	忆：回忆
億	iek055	亿：亿万
抑	iek055	抑：压抑
蠅	ieŋ35	蝇：苍蝇
孕	iɐn31	孕：怀孕
翼	iek022	翼：机翼
國	kwɔk033	国：中国
弘	wɐŋ31	弘：弘扬
或	wak022	或：或者
惑	wak022	惑：迷惑
域	wek022	域：地域
百	pak033	百：百姓
柏	pak033	柏：柏树
伯	pak033	伯：伯父
迫	pʰak055	迫：迫害
烹	pʰaŋ453	烹：烹调
碰	pʰoŋ33	碰：碰到
拍	pʰak033	拍：拍球
珀	pʰak033	珀：琥珀
魄	pʰak033	魄：魂魄
彭	pʰaŋ13	彭：姓
膨	pʰaŋ31	膨：膨胀
白	pak022	白：白色；白吃白喝
帛	pak022	帛：财帛
盲	maŋ13	盲：盲人，文盲
虻	mu̯ɔŋ453	虻：牛虻
猛	maŋ13	猛：凶猛
孟	maŋ31	孟：孟子
陌	pak033	陌：陌生
打	ta13	打：打针
冷	laŋ13	冷：天冷
撑	tʃʰaŋ453	撑：支撑
拆	tʃʰak033	拆：拆开
澤	tʃak022	泽：毛泽东
擇	tʃak022	择：择菜；选择
宅	tʃak022	宅：住宅
窄	tʃat033	窄：狭窄
生	ʃaŋ453	生：生活；生小孩
牲	ʃaŋ453	牲：牺牲；畜牲
甥	ʃaŋ453	甥：外甥
省	ɬeŋ35	省：反省
省	ʃaŋ35	省：节省
更	kɐŋ33	更：更加
庚	kaŋ453	庚：庚子，庚款
羹	kaŋ453	羹：调羹
哽	kʰɐŋ35	哽：骨哽在喉
埂	kɐŋ453	埂：田埂
梗	kwʰaŋ35	梗：菜梗
更	kaŋ453	更：三更；更换
格	kak033	格：格子
骼	lu̯ɔk033	骼：骨骼
坑	haŋ453	坑：坑害
客	hak033	客：客人
硬	ŋaŋ31	硬：软硬
額	ŋak022	额：名额
亨	hɐŋ453	亨：大亨
赫	hak033	赫：显赫
嚇	hak033	吓：吓一跳
行	haŋ31	行：行走；行为
衡	hɐŋ13	衡：平衡
杏	hɐŋ31	杏：杏仁
行	hu̯ɔŋ13	行：银行
浜	pɔŋ453	浜：沙家浜
繃	pɐŋ453	绷：绷带
逬	pʰeŋ13	迸：迸裂
擘	mit055	擘：用手擘开
檗	pak033	檗：黄檗（中药名）
棚	pʰaŋ13	棚：瓜棚
蚌	pʰu̯ɔŋ13	蚌：蚌壳
萌	mɐŋ13	萌：萌芽
氓	mɐn13	氓：流氓
麥	mak022	麦：大麦
脈	mak022	脉：把脉
摘	tʃak022	摘：文摘；摘花
橙	tʃʰɐŋ13	橙：橙子，脐橙
爭	tʃaŋ453	争：争吵，战争
箏	tʃaŋ453	筝：风筝
睜	tʃaŋ453	睁：睁眼
踭	tʃaŋ453	踭：脚后跟
責	tʃak033	责：责任
策	tʃʰak033	策：策略
冊	tʃʰak033	册：书册
柵	ʃan453	栅：栅栏
耕	kaŋ453	耕：耕田
耿	kɐŋ35	耿：耿耿于怀
革	kak033	革：革命；皮革
隔	kak033	隔：隔开，隔壁
莖	keŋ33	茎：花茎
幸	hɐŋ31	幸：幸福
核	hat022	核：核对
鶯	ʔɐŋ453	莺：黄莺
鸚	ʔɐŋ453	鹦：鹦鹉
櫻	ieŋ453	樱：樱桃
扼	ʔak033	扼：扼杀
軛	ʔak033	轭：牛轭（牛耕田时套的工具）
兵	peŋ453	兵：当兵
丙	peŋ35	丙：甲乙丙丁
柄	peŋ33	柄：把柄
碧	pek055	碧：碧玉
平	pʰeŋ13	平：平时
坪	pʰeŋ13	坪：草坪
評	pʰeŋ33	评：批评
病	peŋ31	病：生病
鳴	meŋ13	鸣：鸣叫
明	meŋ31	明：明年
盟	mɐŋ13	盟：同盟
皿	mɐŋ13	皿：器皿
命	meŋ31	命：命令；一条命
京	keŋ453	京：北京
荆	keŋ453	荆：荆州
驚	keŋ453	惊：吃惊，好惊
境	keŋ35	境：境界
景	keŋ35	景：景色
警	keŋ35	警：警察
敬	keŋ33	敬：敬爱
竟	keŋ35	竟：竟然
鏡	keŋ33	镜：镜子，圆镜
戟	kek055	戟：方天画戟
卿	heŋ453	卿：人名用字；爱卿
慶	heŋ33	庆：庆祝
鯨	keŋ453	鲸：鲸鱼
競	keŋ31	竞：竞争
劇	kek022	剧：剧烈
劇	kek022	剧：戏剧
屐	kek022	屐：木屐
迎	ŋeŋ13	迎：欢迎
逆	ŋek022	逆：逆风
英	ieŋ453	英：英雄
影	ieŋ35	影：电影
映	ieŋ35	映：反映
餠	peŋ35	饼：饼干
倂	peŋ33	并：合并
璧	pek055	璧：玉璧
聘	pʰeŋ33	聘：聘请
僻	pʰek055	僻：偏僻
癖	pʰek055	癖：癖好，怪癖
辟	pʰek055	辟：开辟
名	meŋ13	名：名字
領	leŋ13	领：领钱；衣领
嶺	leŋ13	岭：山岭，岭南
令	leŋ31	令：令人
精	tʃeŋ453	精：精神
晶	tʃeŋ453	晶：水晶
睛	tʃeŋ453	睛：眼睛
井	tʃeŋ35	井：一口井；井井有条
積	tʃek055	积：积极
跡	tʃek055	迹：笔迹
脊	tʃek055	脊：背脊
淸	tʃʰeŋ453	清：清洁，水很清
請	tʃʰeŋ35	请：请人，邀请
情	tʃʰeŋ31	情：情节
晴	tʃʰeŋ13	晴：天晴
靜	tʃeŋ31	静：安静
靖	tʃeŋ31	靖：靖边，靖康
淨	tʃeŋ31	净：净重；干净
籍	tʃek022	籍：籍贯
藉	tʃek022	藉：狼藉
省	ʃaŋ35	省：省长
性	ɬeŋ33	性：性别
姓	ɬeŋ33	姓：姓名
惜	ɬek055	惜：可惜
昔	ɬek055	昔：今昔
席	tʃek022	席：酒席；主席
蓆	tʃek022	席：草席
夕	tʃek022	夕：夕阳
貞	tʃeŋ453	贞：贞节
偵	tʃeŋ453	侦：侦察
逞	tʃʰeŋ13	逞：得逞
呈	tʃʰeŋ13	呈：呈现
程	tʃʰeŋ31	程：程度；姓
鄭	tʃeŋ31	郑：姓；郑重
擲	tʃai35	掷：掷骰子
正	tʃeŋ453	正：正月
征	tʃeŋ453	征：长征；征兵
整	tʃeŋ35	整：整体
正	tʃeŋ33	正：正直，方正
政	tʃeŋ33	政：政治
隻	tʃek055	只：一只
炙	tʃek055	炙：炙手可热
赤	tʃʰek055	赤：赤脚
斥	tʃʰek055	斥：排斥
尺	tʃʰek055	尺：尺寸，一把尺
射	ʃɛ31	射：射箭
聲	ʃeŋ453	声：声音
聖	ʃeŋ33	圣：神圣
適	ʃek055	适：合适
釋	ɬek055	释：解释
成	ʃeŋ13	成：完成
城	ʃeŋ13	城：县城
誠	ʃeŋ31	诚：诚心
盛	ʃeŋ31	盛：兴盛；姓
石	ʃek022	石：石头
頸	keŋ35	颈：头颈
勁	keŋ31	劲：有劲
輕	heŋ453	轻：轻重
嬰	ieŋ453	婴：婴儿
纓	ieŋ453	缨：红缨枪
益	iek055	益：利益
盈	ieŋ31	盈：盈利
贏	ieŋ13	赢：输赢
亦	iek022	亦：亦可
譯	iek022	译：翻译
易	i31	易：容易
液	iek022	液：液体
腋	iek022	腋：腋下
壁	pek055	壁：墙壁
拼	pʰeŋ33	拼：拼音
劈	pʰek055	劈：雷劈，刀劈
甁	pʰeŋ13	瓶：瓶子
屛	pʰeŋ31	屏：屏风
萍	pʰeŋ31	萍：萍水相逢；萍乡
並	pʰeŋ13	并：并且
銘	meŋ13	铭：铭刻
冥	mɐŋ13	冥：冥王，冥钞
覓	mit022	觅：寻觅
丁	teŋ453	丁：甲乙丙丁；姓
釘	teŋ453	钉：钉书（动）
疔	teŋ453	疔：疔疮
叮	teŋ453	叮：蚊子咬
頂	teŋ35	顶：顶好；山顶
鼎	teŋ35	鼎：鼎盛
釘	teŋ453	钉：铁钉（名）
訂	teŋ33	订：订合同，预订
的	tek055	的：目的
滴	tek055	滴：滴水
嫡	tek055	嫡：嫡系，嫡亲
聽	tʰeŋ33	听：听见，听话
廳	tʰeŋ453	厅：客厅
汀	teŋ453	汀：汀州
聽	tʰeŋ33	听：听任
踢	tʰek055	踢：踢球
剔	tʰek055	剔：挑剔
亭	tʰeŋ13	亭：凉亭
停	tʰeŋ13	停：停下
廷	tʰeŋ13	廷：朝廷
庭	tʰeŋ13	庭：家庭
蜓	tʰeŋ13	蜓：蜻蜓
艇	tʰeŋ13	艇：潜艇
挺	tʰeŋ35	挺：挺胸
錠	teŋ31	锭：银锭
定	teŋ31	定：坚定
笛	tek022	笛：笛子
敵	tek022	敌：敌人
狄	tek022	狄：姓
糴	tek022	籴：籴米（买米）
寧	neŋ13	宁：安宁
寧	neŋ13	宁：宁可
溺	nek022	溺：溺死
靈	leŋ31	灵：灵活
零	leŋ31	零：零碎；零分；十零个
鈴	leŋ453	铃：风铃
伶	leŋ31	伶：伶俐；伶仃
拎	neŋ453	拎：提
翎	leŋ31	翎：翎毛
另	leŋ31	另：另外
歷	lek022	历：经历，历史
於	ʔʊi453	于：于是（白）
曆	lek022	历：日历，历书
礫	lek055	砾：瓦砾
績	tʃek055	绩：成绩
靑	tʃʰeŋ453	青：青年；青色
蜻	tʃʰeŋ453	蜻：蜻蜓
戚	tʃʰek055	戚：亲戚
寂	tʃek022	寂：寂寞
星	ɬeŋ453	星：星星
腥	ɬeŋ453	腥：腥臭
醒	ɬeŋ35	醒：醒来，清醒
錫	ɬek055	锡：无锡；锡纸
析	ɬek055	析：分析
經	keŋ453	经：经济
徑	keŋ33	径：半径
經	keŋ453	经：经纬
擊	kek055	击：击败
激	kek055	激：激动
喫	hek055	吃：吃东西；吃亏
馨	heŋ453	馨：温馨
形	ieŋ31	形：形状
型	ieŋ35	型：型号
刑	ieŋ31	刑：刑法
礦	kʰɔŋ33	矿：煤矿
橫	waŋ13	横：横直
橫	waŋ13	横：蛮横
轟	kwʰɐŋ453	轰：轰炸
宏	hoŋ31	宏：宏大
獲	wak022	获：获得
劃	wak022	划：计划
兄	heŋ453	兄：兄弟
榮	weŋ13	荣：光荣
永	weŋ13	永：永远
泳	weŋ31	泳：游泳
詠	weŋ31	咏：歌咏
傾	kʰeŋ453	倾：倾向
頃	kʰeŋ35	顷：顷刻
瓊	kʰeŋ31	琼：琼楼
營	ieŋ31	营：营养
穎	weŋ31	颖：新颖
疫	wek022	疫：疫苗
役	wek022	役：战役
螢	ieŋ31	萤：萤火虫
卜	pok055	卜：占卜
撲	pʰu̯ɔk033	扑：扑灭
仆	pʰok055	仆：仆倒
篷	pʰoŋ13	篷：帐篷
蓬	pʰoŋ13	蓬：蓬勃；蓬蒿；蓬莱
僕	pok022	仆：仆人，奴仆
曝	pou31	曝：曝光
瀑	pou31	瀑：瀑布
蒙	moŋ13	蒙：蒙古
懵	moŋ35	懵：懵懂
木	mok022	木：木头
東	toŋ453	东：东方
董	toŋ35	董：姓
懂	toŋ35	懂：懂了；懵懂
凍	toŋ33	冻：冻死
棟	toŋ33	栋：栋梁
通	tʰoŋ453	通：通过
桶	tʰoŋ35	桶：木桶
壅	ʔoŋ453	壅：施肥
容	ioŋ31	容：容易
蓉	ioŋ31	蓉：芙蓉
庸	ioŋ13	庸：平庸
溶	ioŋ13	溶：溶化
熔	ioŋ13	熔：熔化
勇	ȵioŋ13	勇：勇敢
涌	ȵioŋ35	涌：涌现
用	ioŋ31	用：用处
欲	iok022	欲：欲速则不达
慾	iok022	欲：欲望
浴	iok022	浴：沐浴
賜	ɬei33	赐：赏赐(土）
知	tei453	知：知道(土）
郁	iok055	郁：忧郁(文）
裂	lit022	裂：分裂(文）
揭	kʰet033	揭：揭发(白）
挖	wet033	挖：挖地(白）
撈	lʊi453	捞：捞饭,饭捞(白）
欄	lan31	栏：栏杆
捲	kyn35	卷：卷起（动）(土）
院	yn31	院：院子(大）
蔔	pak033	卜：萝卜
勢	ʃɐi33	势：势力
誓	ʃɐi31	誓：发誓
逝	ʃɐi31	逝：逝去，逝世
藝	ŋɐi31	艺：艺术
蓖	pei453	蓖：蓖麻
閉	pɐi33	闭：关闭
批	pʰɐi453	批：批评
陛	pɐi31	陛：陛下
迷	mɐi31	迷：迷路
米	mɐi13	米：大米
謎	mɐi31	谜：谜语
低	tɐi453	低：高低
堤	tʰɐi13	堤：河堤
底	tɐi35	底：水底
抵	tɐi35	抵：抵押
帝	tɐi33	帝：皇帝
蒂	tʰɐi33	蒂：瓜蒂，并蒂莲
梯	tʰɐi453	梯：楼梯
體	tʰɐi35	体：身体
替	tʰɐi33	替：代替
涕	tʰɐi33	涕：鼻涕
剃	tʰɐi33	剃：剃头
題	tʰɐi13	題：题目
提	tʰɐi31	提：提问
蹄	tʰɐi35	蹄：猪蹄
啼	tʰɐi35	啼：鸡啼
弟	tɐi31	弟：弟弟
第	tɐi31	第：第一
遞	tɐi31	递：传递
泥	nɐi13	泥：水泥
犁	lɐi13	犁：犁地
黎	lɐi13	黎：黎明；姓
禮	lɐi13	礼：礼貌
麗	lɐi31	丽：美丽
隸	tɐi31	隶：奴隶；隶属
莉	lei31	莉：茉莉
擠	tʃɐi453	挤：拥挤
濟	tʃɐi35	济：经济
妻	tʃʰɐi453	妻：妻子
砌	tʃʰɐi33	砌：砌墙
齊	tʃʰɐi13	齐：整齐
臍	tʃʰɛ35	脐：肚脐
劑	tʃɐi453	剂：药剂
西	ɬɐi453	西：东西南北
棲	tʃʰɐi453	栖：栖息，两栖
犀	ɬɐi453	犀：犀牛
洗	ɬɐi35	洗：洗衣服
細	ɬɐi33	细：粗细；大细
婿	ɬɐi33	婿：女婿
雞	kɐi453	鸡：公鸡
稽	kʰɐi453	稽：稽查
計	kɐi33	计：会计
繼	kɐi33	继：继续
繫	hɐi31	系：联系
髻	kɐi33	髻：发髻
溪	kʰɐi453	溪：小溪
啓	kʰɐi35	启：启发
契	kʰɐi33	契：地契
倪	ŋɐi31	倪：姓
系	hɐi31	系：系统；中文系
繫	hɐi31	系：系鞋带
係	hɐi31	系：是
杯	pʊi453	杯：茶杯
輩	pʊi33	辈：长辈
背	pʊi31	背：背书
胚	pʰei453	胚：胚胎
坯	pʰʊi453	坯：毛坯
配	pʰʊi33	配：分配
培	pʰʊi13	培：培训
陪	pʰʊi13	陪：陪伴
賠	pʰʊi13	赔：赔钱
裴	pʰʊi13	裴：姓
倍	pʰʊi13	倍：倍数
佩	pʰʊi33	佩：佩服
背	pʊi33	背：后背
焙	pʊi31	焙：焙干
梅	mʊi13	梅：梅花
枚	mʊi13	枚：一枚
媒	mʊi13	媒：媒人
煤	mʊi13	煤：煤矿
玫	mʊi31	玫：玫瑰
莓	mʊi13	莓：草莓
每	mʊi13	每：每天
妹	mʊi31	妹：妹妹
昧	mei31	昧：拾金不昧
堆	tʊi453	堆：堆放
對	tʊi33	对：对错
推	tʰʊi453	推：推动
腿	tʰʊi35	腿：腿部
退	tʰʊi33	退：退后
隊	tʊi31	队：队伍
內	nu̯ɔi31	内：内外
雷	lʊi13	雷：雷公；姓
儡	lʊi35	儡：傀儡
累	lʊi13	累：极困；劳累
催	tʃʰʊi453	催：催眠
崔	tʃʰʊi453	崔：姓
罪	tʃʊi31	罪：犯罪
碎	ɬʊi33	碎：破碎
盔	fʊi453	盔：头盔
魁	fʊi453	魁：魁悟
恢	fʊi453	恢：恢复
傀	fai33	傀：傀儡
塊	fai33	块：块状
桅	ŋɐi31	桅：桅杆
灰	fʊi453	灰：灰色
賄	fʊi35	贿：贿赂
悔	fʊi35	悔：后悔
晦	fʊi35	晦：晦气
回	wʊi13	回：回去
茴	wʊi31	茴：茴香
匯	wʊi31	汇：汇报
潰	kʰʊi33	溃：溃疡
煨	wʊi453	煨：煨番薯
兌	tʊi31	兑：兑换
最	tʃʊi33	最：最好
會	wʊi31	会：会不会
劊	kʰʊi33	刽：刽子手
檜	kʰʊi33	桧：秦桧
外	ŋu̯ɔi31	外：外面
會	wʊi31	会：会计
會	wʊi31	会：开会
繪	kʰʊi33	绘：绘画
乖	kwai453	乖：小孩听话
怪	kwai33	怪：奇怪
懷	wai13	怀：胸怀
槐	wai35	槐：槐树
淮	wɐi13	淮：淮河
壞	wai31	坏：好坏
拐	wai35	拐：拐卖
掛	kwa33	挂：挂钩
卦	kwa33	卦：卜卦；八卦
歪	wai453	歪：歪斜
畫	wa31	画：油画
蛙	wa453	蛙：青蛙
快	fai33	快：快点；快车
筷	fai33	筷：筷子
話	wa31	话：说话
脆	tʃʰʊi33	脆：干脆
歲	ɬʊi33	岁：万岁
贅	tʃ∅y31	赘：入赘
稅	ʃʊi33	税：税收
衛	wɐi31	卫：卫生
銳	tʊi31	锐：尖锐
廢	fei33	废：废品
肺	fei33	肺：猪肺
吠	fei31	吠：狗叫、狗吠
穢	wɐi33	秽：污秽
圭	kwɐi453	圭：人名用字
閨	kwɐi453	闺：闺房
桂	kwɐi33	桂：桂花
奎	kwʰɐi35	奎：人名用字
攜	kwʰɐi31	携：携带
惠	wɐi31	惠：优惠
慧	iʊi31	慧：智慧
碑	pei453	碑：石碑
卑	pei453	卑：卑鄙
彼	pʰei35	彼：彼此
俾	pei35	俾：俾使
臂	pei33	臂：手臂
披	pʰei453	披：披上
譬	pei35	譬：譬如；譬喻
皮	pʰei35	皮：果皮
疲	pʰei31	疲：疲劳
脾	pʰei31	脾：脾气
被	pei31	被：被动
婢	pʰei13	婢：婢女
被	pʰei13	被：棉被
避	pei31	避：避开
糜	mei31	糜：糜烂；粥
彌	nei31	弥：弥补
靡	fei35	靡：风靡
離	lei13	离：离别
籬	lei31	篱：篱笆
璃	lei453	璃：玻璃
荔	lei31	荔：荔枝
離	lei13	离：离开
紫	tʃi35	紫：紫色
雌	tʃʰi453	雌：雌雄
此	tʃʰi35	此：此地
刺	tʃʰi33	刺：鱼刺
疵	tʃʰi453	疵：瑕疵
斯	ʃi453	斯：斯大林
廝	ʃi453	厮：厮打
撕	ʃi453	撕：撕破
璽	ɬai35	玺：玉玺
賜	tʃʰi33	赐：赏赐
知	tʃi453	知：知道(多）
蜘	tʃi453	蜘：蜘蛛
智	tʃi33	智：智慧
池	tʃʰi13	池：池塘
馳	tʃʰi13	驰：奔驰
篩	ʃɐi453	筛：筛子
支	tʃi453	支：支持
枝	tʃi453	枝：荔枝
肢	tʃi453	肢：四肢
紙	tʃi35	纸：白纸
只	tʃi35	只：只有
侈	tʃʰi453	侈：奢侈
施	ʃi453	施：施肥
翅	tʃʰi33	翅：鱼翅
匙	ʃi13	匙：钥匙；匙羹
是	ʃi13	是：是不是
氏	ʃi31	氏：姓氏
豉	ʃi31	豉：豆豉
兒	ȵi13	儿：儿童
爾	ȵi13	尔：尔虞我诈
寄	kei33	寄：寄信
企	kʰei31	企：企业
奇	kʰei13	奇：奇怪
騎	kʰei31	骑：骑马
岐	kʰei31	岐：岐山
徛	kʰei35	徛：站立
技	kei31	技：技术
妓	kei31	妓：妓女
宜	ȵi13	宜：便宜
儀	ȵi31	仪：礼仪
蟻	ŋɐi35	蚁：蚂蚁
誼	ȵi13	谊：友谊
義	ȵi31	义：情义
議	ȵi13	议：会议
犧	hei453	牺：牺牲
戲	hei33	戏：大戏
倚	ʔei35	倚：倚靠
椅	ʔei35	椅：椅子
移	i13	移：移动
易	iek022	易：交易
悲	pei453	悲：悲伤
鄙	pʰei35	鄙：卑鄙
比	pei35	比：对比
秕	pʰaŋ33	秕：秕谷（不饱满的稻谷）
秘	pei33	秘：秘密
泌	pei33	泌：分泌
庇	pei33	庇：包庇
痹	pei33	痹：麻痹
丕	pʰei453	丕：曹丕
屁	pʰei33	屁：放屁
琵	pʰei31	琵：琵琶
枇	pʰei31	枇：枇杷
備	pei31	备：准备
鼻	pei31	鼻：鼻涕
篦	pei453	篦：篦子（可抓虱子的很密的梳子）
眉	mei13	眉：眉毛
楣	mei13	楣：门楣
黴	mʊi13	霉：发霉
美	mei13	美：美化
媚	mei13	媚：妩媚
地	tei31	地：土地
尼	nɐi31	尼：尼姑
膩	nɐi31	腻：油腻
梨	lei13	梨：雪梨
履	lʊi13	履：履行
利	lei31	利：有利
痢	lei31	痢：痢疾
資	tʃi453	资：资本
姿	tʃi453	姿：姿势
咨	tʃi453	咨：咨询
姊	tʃi35	姊：姊妹
次	tʃʰi33	次：名次
瓷	tʃʰi31	瓷：陶瓷
糍	tʃʰi31	糍：糍粑；糯米糍
自	tʃi31	自：自己
私	ʃi453	私：自私(多）
死	ɬei35	死：死亡
四	ɬei33	四：四个
歉	him31	歉：道歉
嫌	him453	嫌：嫌弃
協	hip022	协：协作
俠	hip022	俠：侠义，大侠
法	fat033	法：办法
泛	fan33	泛：广泛
凡	fan31	凡：凡是
帆	fan13	帆：船帆
范	fan31	范：姓
範	fan31	范：规范
犯	fan31	犯：犯法
乏	fat022	乏：乏力
稟	pɐn35	禀：禀报
品	pʰɐn35	品：品德
賃	ȵiɐm31	赁：租赁
林	lɐm13	林：树林
淋	lɐm13	淋：淋雨
臨	lɐm31	临：临时
立	lap022	立：立正
笠	lap055	笠：斗笠
粒	nap055	粒：颗粒
浸	tʃɐm33	浸：浸水
侵	tʃʰɐm453	侵：侵略
寢	tʃʰɐm35	寝：寝室
集	tʃap022	集：集体
輯	tʃʰap055	辑：编辑
心	ɬɐm453	心：心思
尋	tʃʰɐm13	寻：寻找
習	tʃap022	习：学习
襲	tʃap022	袭：袭击
砧	tʃɐm453	砧：砧板
沉	tʃʰɐm13	沉：沉浮
蟄	tʃek022	蛰：惊蛰
岑	kʰɐm13	岑：姓
森	ʃɐm453	森：森林
參	tʃʰam453	参：人参
滲	iam33	渗：渗水
澀	ȵiap033	涩：涩口
針	tʃɐm453	针：针对
斟	tʃɐm453	斟：斟酒
枕	tʃɐm35	枕：枕头（名）
枕	tʃɐm35	枕：枕枕头（动）
執	tʃap055	执：执行
汁	tʃap055	汁：果汁
葚	ʃɐm31	葚：桑葚
深	ʃɐm453	深：深入
沈	ʃɐm35	沈：沈阳
嬸	ʃɐm35	婶：叔之妻
審	ʃɐm35	审：审问
濕	ʃap055	湿：湿润
甚	ʃɐm31	甚：甚至
十	ʃap022	十：第十
什	tʃap022	什：什物
蔣	tʃiaŋ35	蒋：蒋介石
槳	tʃiaŋ35	桨：木浆
獎	tʃiaŋ35	奖：奖品
將	tʃiaŋ453	将：将来
醬	tʃiaŋ33	酱：酱油，辣椒酱
爵	tʃʰiak033	爵：爵位
雀	tʃʰiak033	雀：麻雀
槍	tʃʰiaŋ453	枪：手枪
搶	tʃʰiaŋ35	抢：抢东西
鵲	tʃʰiak033	鹊：喜鹊
牆	tʃʰiaŋ13	墙：墙壁
匠	tʃiaŋ31	匠：木匠
嚼	tʃʰiak033	嚼：嚼碎，咀嚼
相	ɬiaŋ453	相：互相
箱	ɬiaŋ453	箱：箱子
廂	ɬiaŋ453	厢：车厢
湘	ɬiaŋ453	湘：湖南简称
襄	ʃiaŋ453	襄：襄阳
鑲	ɬiaŋ453	镶：镶牙
想	ɬiaŋ35	想：想念
相	ɬiaŋ33	相：相貌，看相
削	ɬiak033	削：剥削
詳	tʃʰiaŋ31	详：详细
祥	tʃʰiaŋ31	祥：慈祥
象	tʃiaŋ31	象：大象
像	tʃiaŋ31	像：像章，相像
橡	tʃiaŋ31	橡：橡胶；橡树
張	tʃiaŋ453	张：一张纸；姓
長	tʃʰiaŋ13	长：长短
漲	tʃiaŋ33	涨：涨价
帳	tʃiaŋ33	帐：蚊帐
賬	tʃiaŋ33	账：算账
脹	tʃiaŋ33	胀：肿胀
着	tʃiak022	着：着衣；着火
暢	tʃʰiaŋ35	畅：畅快
長	tʃiaŋ35	长：生长
腸	tʃʰiaŋ31	肠：肠胃
場	tʃʰiaŋ31	场：场地
丈	tʃiaŋ31	丈：一丈；老丈人
仗	tʃiaŋ33	仗：打仗
杖	tʃiaŋ31	杖：拐杖
着	tʃiak022	着：睡着；碰着
莊	tʃu̯ɔŋ453	庄：村庄
裝	tʃu̯ɔŋ453	装：假装
妝	tʃu̯ɔŋ453	妆：化妆
壯	tʃu̯ɔŋ33	壮：壮大，强壮
瘡	tʃʰu̯ɔŋ453	疮：痔疮
闖	tʃʰu̯ɔŋ35	闯：闯祸
創	tʃʰu̯ɔŋ35	创：创造
牀	tʃʰu̯ɔŋ13	床：机床
狀	tʃu̯ɔŋ31	状：状元
霜	ʃu̯ɔŋ453	霜：落霜，霜降
孀	ʃu̯ɔŋ453	孀：遗孀
爽	ʃu̯ɔŋ35	爽：爽快
章	tʃiaŋ453	章：文章
樟	tʃiaŋ453	樟：樟树
掌	tʃiaŋ35	掌：巴掌
障	tʃiaŋ33	障：保障
瘴	tʃiaŋ33	瘴：瘴气
酌	tʃiak033	酌：酌情
昌	tʃʰiaŋ453	昌：昌盛
葫	fu13	葫：葫芦
糊	fu13	糊：糊涂
蝴	fu31	蝴：蝴蝶
戶	fu13	户：户口
互	fu31	互：互相
護	fu31	护：保护
烏	wu453	乌：乌鸦
污	wu453	污：污染
塢	wu453	坞：船坞
惡	wu33	恶：可恶
女	nʊi13	女：女儿
廬	lu13	庐：庐山
驢	lu13	驴：毛驴
呂	lʊi35	吕：姓
旅	lʊi13	旅：旅游
慮	lʊi31	虑：考虑
濾	lʊi31	滤：过滤
蛆	tʃʰy453	蛆：蛆虫
絮	ɬʊi13	絮：棉絮
徐	tʃʰy13	徐：姓
序	tʃy31	序：秩序
叙	tʃy31	叙：叙述
緖	ɬʊi13	绪：情绪；光绪
嶼	y13	屿：小岛（鼓浪屿）
豬	tʃy453	猪：猪肉
著	tʃy33	著：著名
除	tʃʰy13	除：除法
儲	tʃʰy13	储：储蓄
若	ȵiak022	若：若无其事
弱	ȵiak022	弱：弱点
疆	kiaŋ453	疆：新疆
僵	kiaŋ453	僵：僵硬
薑	kiaŋ453	姜：生姜
繮	kiaŋ453	缰：缰绳
姜	kiaŋ453	姜：姜太公，姓
脚	kiak033	脚：赤脚
卻	kʰiak033	却：退却
强	kʰiaŋ13	强：勉强
强	kʰiaŋ31	强：强大
仰	ȵiaŋ13	仰：仰视
虐	ȵiak022	虐：虐待
瘧	ȵiak022	疟：疟疾
香	hiaŋ453	香：香气
鄕	hiaŋ453	乡：乡下
享	hiaŋ35	享：分享
響	hiaŋ35	响：音响
向	hiaŋ33	向：向前
央	iaŋ453	央：中央
秧	iaŋ453	秧：插秧
殃	iaŋ453	殃：遭殃
約	iak033	约：约定
羊	iaŋ13	羊：绵羊
洋	iaŋ13	洋：海洋
楊	iaŋ13	杨：杨树
陽	iaŋ13	阳：太阳
揚	iaŋ13	扬：发扬
瘍	iaŋ13	疡：溃疡
養	iaŋ13	养：养猪
癢	iaŋ13	痒：皮肤痒
樣	iaŋ31	样：样子
藥	iak022	药：吃药
躍	iak033	跃：跳跃
光	kwɔŋ453	光：阳光
廣	kwɔŋ35	广：广东
郭	kwɔk033	郭：姓
曠	kʰu̯ɔŋ33	旷：旷工
廓	kwɔk033	廓：轮廓
擴	kʰu̯ɔŋ33	扩：扩充
荒	fu̯ɔŋ453	荒：荒地
慌	fu̯ɔŋ453	慌：心慌
謊	fu̯ɔŋ453	谎：说谎
霍	fu̯ɔk033	霍：霍乱
藿	fu̯ɔk033	藿：藿香
黃	wɔŋ13	黄：黄色
簧	wɔŋ13	簧：弹簧
皇	wɔŋ31	皇：皇帝
蝗	wɔŋ31	蝗：蝗虫
凰	wɔŋ13	凰：凤凰
晃	fu̯ɔŋ35	晃：晃动，晃眼
