#漢字	音標	解釋
多	ɗo55	多 多少
欄	laŋ31	栏 栏杆
欄	laŋ55	栏 猪栏
懶	laŋ23	懒 懒惰
爛	laŋ31	烂 腐烂
辣	laʔ031	辣 泼辣；辣椒
贊	tʃaŋ33	赞 赞助
灒	tʃaŋ33	灒 溅水，灒水（打铁器）
餐	tʃʰaŋ55	餐 快餐
燦	tʃʰaŋ33	灿 灿烂
擦	tʃʰaʔ033	擦 擦洗
殘	tʃʰaŋ31	残 残疾
珊	ʃaŋ55	珊 珊瑚
散	ɬaŋ33	散 分散
傘	ɬaŋ33	伞 雨伞
散	ɬaŋ35	散 松散
撒	ɬaʔ033	撒 撒手，撒种
薩	ɬaʔ033	萨 菩萨
干	kɔŋ55	干 天干地支
乾	kɔŋ55	干 干湿
竿	kɔŋ55	竿 竹竿
肝	kɔŋ55	肝 猪肝
桿	kɔŋ55	杆 枪杆
稈	kɔŋ55	秆 禾秆
趕	kɔŋ35	赶 赶走
幹	kɔŋ33	干 干部
割	kɔʔ033	割 收割
葛	kɔʔ033	葛 诸葛亮
看	hɔŋ55	看 看守，看牛
刊	hɔŋ35	刊 报刊
看	hɔŋ33	看 看见
渴	hɔʔ033	渴 口渴
岸	ŋɔŋ31	岸 口岸
鼾	hɔŋ31	鼾 鼾声
罕	hɔŋ23	罕 罕见
漢	hɔŋ33	汉 汉族
喝	hɔʔ033	喝 喝酒
寒	hɔŋ31	寒 寒冷
韓	hɔŋ31	韩 韩国
旱	hɔŋ35	旱 干旱
焊	hɔŋ31	焊 电焊
汗	hɔŋ31	汗 出汗
翰	hɔŋ31	翰 翰林；人名用字
安	ʔɔŋ55	安 安全
鞍	ʔɔŋ55	鞍 马鞍
按	ʔɔŋ33	按 按照
案	ʔɔŋ33	案 档案
扮	ɓaŋ31	扮 打扮
八	ɓaʔ033	八 第八
盼	pʰaŋ33	盼 盼望
辦	ɓaŋ31	办 办法
瓣	ɓaŋ31	瓣 花瓣
拔	ɓɐʔ031	拔 选拔
抹	maʔ033	抹 抹布
盞	tʃaŋ35	盏 灯盏
札	tʃaʔ033	札 札记
紮	tʃaʔ033	扎 驻扎
鏟	tʃʰaŋ23	铲 铲草
察	tʃʰaʔ033	察 观察
山	ʃaŋ55	山 山顶
產	tʃʰaŋ35	产 生产
殺	ʃaʔ033	杀 自杀
煞	ʃaʔ033	煞 凶神恶煞；煞费苦心
艱	kaŋ55	艰 艰苦
間	kaŋ55	间 中间
簡	kaŋ23	简 简单
柬	kaŋ35	柬 请柬
揀	kaŋ35	拣 拣菜
間	kaŋ33	间 间断
眼	ŋaŋ23	眼 眼镜
閑	haŋ31	闲 空闲
限	hɐŋ31	限 限制
莧	jin31	苋 苋菜
軋	tʃaʔ033	轧 被车轧；轧钢厂
班	ɓaŋ55	班 班级
斑	ɓaŋ55	斑 雀斑
頒	ɓaŋ55	颁 颁布
扳	ɓaŋ23	扳 扳手，枪的扳机
板	ɓaŋ23	板 石板
版	ɓaŋ23	版 出版
攀	pʰaŋ55	攀 高攀
蠻	maŋ31	蛮 野蛮
慢	maŋ31	慢 快慢
棧	tʃaŋ31	栈 客栈
鍘	tʃaʔ031	铡 铡刀
刪	ʃaŋ55	删 删除
疝	ʃaŋ33	疝 疝气
奸	kaŋ55	奸 奸臣
顏	ŋaŋ31	颜 颜色
雁	ŋaŋ31	雁 大雁
瞎	haʔ031	瞎 瞎子
轄	hɐʔ031	辖 管辖
晏	ʔaŋ33	晏 天晚
鞭	ɓin55	鞭 皮鞭
編	pʰin55	编 编辑
變	ɓin33	变 改变
別	ɓit031	别 分别
鱉	ɓit033	鳖 甲鱼
篇	pʰin55	篇 一篇
偏	pʰin55	偏 偏僻
騙	pʰin33	骗 欺骗
便	pʰeŋ31	便 便宜
辨	ɓin31	辨 分辨
辯	ɓin31	辩 辩论
便	ɓin31	便 方便
別	ɓit031	别 区别
綿	min31	绵 海绵
棉	min31	棉 棉花
免	min23	免 免除
勉	min23	勉 勉强
娩	maŋ23	娩 分娩
緬	min23	缅 缅甸
面	min31	面 面子
滅	mit031	灭 消灭
碾	tʃin35	碾 碾米
連	lin31	连 大连；连长
聯	lin31	联 联系；对联
列	lit031	列 排列
裂	lit031	裂 分裂
烈	lit031	烈 烈士
煎	tʃin55	煎 煎药
剪	tʃin35	剪 铰剪
箭	tʃin33	箭 射箭
濺	tʃʰin35	溅 溅水
遷	tʃʰin55	迁 迁移
淺	tʃʰin35	浅 深浅
錢	tʃʰin31	钱 钱财
踐	tʃʰin23	践 实践
賤	tʃin31	贱 犯贱
仙	ɬin55	仙 神仙
鮮	ɬin55	鲜 新鲜
鮮	ɬin55	鲜 朝鲜
癬	ɬin35	癣 脚癣
綫	ɬin33	线 线索
薛	ɬit033	薛 姓
泄	ɬit033	泄 泄漏，排泄
羨	ɬin31	羡 羡慕
展	tʃin35	展 发展
哲	tʃit033	哲 哲学
蜇	tʃit033	蜇 蝎子蜇人；海蜇
徹	tʃʰit033	彻 彻底
撤	tʃʰit033	撤 撤退
纏	tʃʰin31	缠 纠缠
氈	tʃin55	毡 油毛毡
戰	tʃin33	战 战斗
顫	ʃin35	颤 颤抖
折	tʃit033	折 折断；折扣
浙	tʃit033	浙 浙江
舌	ʃit031	舌 舌头
搧	ʃin33	扇 扇扇子；（动）
扇	ʃin33	扇 扇子（名）
設	ʃit033	设 设计
蟬	ʃin31	蝉 蝉蜕，知了
善	ʃin31	善 善良
鱔	ʃin35	鳝 鳝鱼，黄鳝
膳	ʃin31	膳 膳食
禪	ʃin31	禅 禅宗
折	ʃit033	折 折本；摔折手臂
然	jin31	然 居然
燃	jin31	燃 燃烧
熱	ȵit031	热 热烈
遣	hin35	遣 遣责
乾	kʰin31	乾 乾坤
件	kin31	件 一件
傑	kit031	杰 杰出
孽	ȵit031	孽 作孽
延	jin23	延 延安
筵	jin23	筵 筵席
演	jin23	演 演出
建	kin33	建 建设
揭	kʰit033	揭 揭发
鍵	kin31	键 关键
健	kin31	健 健康
竭	kʰit033	竭 竭尽全力
言	ȵin31	言 语言
軒	hin55	轩 人名用字（轩辕）
憲	hin33	宪 宪法
獻	hin33	献 贡献
歇	hit033	歇 歇一下
蝎	ʔit033	蝎 蝎子
邊	ɓin55	边 旁边
蝙	pʰin55	蝙 蝙蝠
扁	ɓi̯ɛŋ35	扁 扁担
匾	ɓin35	匾 牌匾
遍	pʰin33	遍 遍地
遍	pʰin33	遍 一遍
片	pʰi̯ɛŋ33	片 片面
撇	pʰit033	撇 撇开
辮	ɓin55	辫 辫子
眠	min31	眠 安眠
麵	min31	面 面条
篾	mit031	篾 竹篾
顚	ɗin55	颠 颠倒
癲	ɗin55	癫 癫狗
典	ɗin23	典 词典
天	tʰin55	天 晴天
鐵	tʰit033	铁 钢铁
田	tʰin31	田 田地
塡	tʰin31	填 填空
電	ɗin31	电 电灯
殿	ɗin31	殿 殿堂
墊	tʰin35	垫 座垫
年	nin31	年 过年
撚	nɛ35	捻 以指捻碎；捻线
捏	nit033	捏 捏紧
憐	lin31	怜 可怜
蓮	lin31	莲 莲花
練	lin31	练 练习
楝	lin31	楝 苦楝树
鏈	lin31	链 项链
薦	tʃʰin31	荐 推荐
節	tʃit033	节 节约
千	tʃʰin55	千 千万
切	tʃʰit033	切 切开
前	tʃʰin31	前 从前
截	tʃit031	截 截断
先	ɬin55	先 先进
屑	ɬiu55	屑 不屑一顾（动）
屑	ɬiu55	屑 木屑（名）
肩	kin55	肩 肩膀
堅	kin55	坚 坚强
趼	ʃɐŋ33	趼 老茧（手脚掌上）
見	kin33	见 见识
結	kit033	结 结果
潔	kit033	洁 清洁
牽	hin55	牵 牵牛花
硏	jin31	研 研究
硯	jin31	砚 砚台
顯	hin35	显 明显
賢	jin31	贤 贤惠
弦	jin31	弦 琴弦
現	jin31	现 出现
煙	jin55	烟 香烟
燕	jin33	燕 燕京；姓
燕	jin33	燕 燕子
嚥	jin55	咽 咽下去
宴	jin33	宴 宴会
般	ɓuŋ55	般 一般
搬	ɓuŋ55	搬 搬家
半	ɓuŋ33	半 半天
絆	ɓuŋ31	绊 绊倒
撥	ɓuʔ031	拨 拨款
潘	pʰuŋ55	潘 姓
拚	pʰeŋ33	拼 拼命
判	pʰuŋ33	判 审判
潑	pʰuʔ033	泼 泼水
盤	pʰuŋ31	盘 算盘
伴	ɓuŋ31	伴 伙伴
拌	ɓuŋ31	拌 搅拌
叛	pʰuŋ31	叛 叛徒
瞞	muŋ31	瞒 隐瞒
饅	maŋ31	馒 馒头
滿	muŋ35	满 满意，装满
漫	maŋ31	漫 漫画
末	muʔ031	末 末尾
沫	muʔ031	沫 泡沫
抹	maʔ033	抹 抹布
端	ɗin55	端 端午
短	ɗin23	短 长短
斷	tʰin23	断 断绝，线断了
鍛	ɗin31	锻 锻炼
脫	tʰit033	脱 摆脱
團	tʰin31	团 团结
糰	tʰin31	团 糕团
斷	tʰin23	断 决断，断案
段	ɗin31	段 阶段
緞	ɗin31	缎 绸缎
椴	ɗin31	椴 椴木
奪	ɗit031	夺 夺权
暖	nin23	暖 暖和
卵	lin23	卵 鸡卵（鸡蛋）
亂	lin31	乱 混乱
捋	lit031	捋 捋袖
鑽	tʃin33	钻 电钻（名）
鑽	tʃin55	钻 钻洞（动）
竄	tʃʰin33	窜 东窜西窜
撮	tʃi̯ɛʔ031	撮 一撮胡子
酸	ɬin55	酸 酸味
算	ɬin33	算 计算
蒜	ɬin33	蒜 蒜头
官	kuŋ55	官 当官
棺	kuŋ55	棺 棺材
觀	kuŋ55	观 参观
冠	kuŋ33	冠 冠军
管	kuŋ35	管 管理
館	kuŋ35	馆 图书馆
貫	kuŋ33	贯 贯彻
灌	kuŋ33	灌 灌溉
罐	kuŋ33	罐 罐头
觀	kuŋ55	观 道观
冠	kuŋ55	冠 衣冠
括	kʰuʔ033	括 包括
寬	fuŋ55	宽 宽敞
款	fuŋ23	款 汇款
闊	fuʔ033	阔 开阔
玩	vaŋ23	玩 玩具，游玩
歡	fuŋ55	欢 喜欢
喚	vuŋ31	唤 呼唤
煥	vuŋ31	焕 焕然一新
完	jin31	完 完全
丸	jin31	丸 药丸
緩	vuŋ31	缓 迟缓
換	vuŋ31	换 交换
活	vuʔ031	活 生活
豌	vuŋ35	豌 豌豆
碗	vuŋ35	碗 饭碗
腕	vuŋ35	腕 手腕
頑	ŋaŋ31	顽 顽皮
幻	vaŋ31	幻 幻想
滑	vaʔ031	滑 滑稽
猾	vaʔ031	猾 狡猾
挖	vaʔ033	挖 挖地
篡	ʃaŋ33	篡 篡位
閂	ʃaŋ55	闩 门闩
刷	tʃʰaʔ033	刷 牙刷
關	kwaŋ55	关 关门
慣	kwaŋ33	惯 习惯
刮	kwaʔ033	刮 搜刮
還	vaŋ31	还 还有
還	vaŋ31	还 还原，还钱
環	vaŋ31	环 环境
患	vaŋ31	患 忧患；患病
彎	vaŋ55	弯 弯曲
灣	vaŋ55	湾 海湾
戀	lin35	恋 恋爱
劣	lit031	劣 恶劣
全	tʃʰin31	全 全部
泉	tʃʰin31	泉 泉水
絕	tʃit031	绝 绝对
宣	ɬin55	宣 宣传
選	ɬin35	选 选举
雪	ɬit033	雪 下雪
旋	ɬin31	旋 旋转
轉	tʃin35	转 转送，转学
轉	tʃin35	转 转圆圈
傳	tʃʰin31	传 传达
傳	tʃʰin31	传 自传
專	tʃin55	专 专门
磚	tʃin55	砖 砖头
川	tʃʰin55	川 四川
穿	tʃʰin55	穿 穿着
喘	tʃʰin35	喘 哮喘
串	tʃʰin33	串 串通
船	ʃin31	船 轮船
說	ʃit033	说 小说
軟	ȵin23	软 软硬
捲	kin35	卷 卷起（动）
眷	kin33	眷 眷属
卷	kin35	卷 试卷（名）
絹	kin55	绢 手绢
圈	kʰin55	圈 圆圈
拳	kʰin31	拳 拳头
權	kʰin31	权 权力
顴	kʰin31	颧 颧骨
倦	kin31	倦 疲倦
圓	jin31	圆 圆圈
員	jin31	员 人员
院	jin31	院 院子
緣	jin31	缘 缘分
沿	jin31	沿 沿路
鉛	jin31	铅 铅笔
捐	kin55	捐 捐款
悅	jit031	悦 愉悦
閱	jit031	阅 阅读
藩	pʰuŋ55	藩 曾国藩
反	faŋ35	反 反对
販	faŋ33	贩 贩卖
髮	faʔ033	发 头发
發	faʔ033	发 发财
翻	faŋ55	翻 翻转
番	faŋ55	番 几番
煩	faŋ31	烦 麻烦
礬	faŋ31	矾 明矾
繁	faŋ31	繁 繁华
飯	faŋ31	饭 吃饭
伐	fɐʔ031	伐 讨伐
罰	fɐʔ031	罚 罚款
晚	maŋ23	晚 晚上
挽	vaŋ23	挽 挽留，挽手
萬	maŋ31	万 一万
蔓	maŋ31	蔓 瓜蔓
襪	maʔ031	袜 袜子
勸	hin33	劝 规劝
券	kin33	券 国库券，证券
掘	kwɐʔ031	掘 挖掘
元	jin31	元 元旦
原	ȵin31	原 原来
源	ȵin31	源 来源
阮	jin23	阮 姓
願	ȵin31	愿 愿望
月	ȵit031	月 月亮
喧	ɬin55	喧 喧闹
冤	jin55	冤 冤枉
怨	jin33	怨 埋怨
袁	jin31	袁 姓
園	jin31	园 花园
援	vuŋ31	援 援助
遠	jin35	远 远近
越	jit031	越 越来越
粵	jit031	粵 粤菜
决	kʰit033	决 决定
訣	kʰit033	诀 口诀
犬	hin35	犬 狗
缺	kʰit033	缺 缺钱，缺口
血	hit033	血 流血
玄	jin31	玄 玄妙
懸	jin31	悬 悬崖
縣	jin31	县 行政单位
穴	hit031	穴 穴位
淵	jin55	渊 深渊
吞	tʰɐŋ55	吞 吞口水
跟	kɐŋ55	跟 跟随
根	kɐŋ55	根 树根
懇	hɐŋ23	恳 恳求
墾	hɐŋ23	垦 开垦
啃	hɐŋ35	啃 啃树皮
痕	hɐŋ31	痕 痕迹
很	hɐŋ35	很 很多
恨	hɐŋ31	恨 仇恨
恩	jɐŋ55	恩 恩德
彬	ɓɐŋ55	彬 文质彬彬
賓	ɓɐŋ55	宾 贵宾
檳	ɓɐŋ55	槟 槟榔
鬢	ɓɐŋ55	鬓 鬂角
筆	ɓɐʔ055	笔 毛笔
畢	ɓɐʔ055	毕 毕业
必	ɓit033	必 必须
匹	pʰɐʔ055	匹 匹配；一匹布
蘋	pʰeŋ31	苹 苹果
頻	pʰɐŋ31	频 频繁
貧	pʰɐŋ31	贫 贫农
閩	mɐŋ23	闽 福建简称
民	mɐŋ31	民 人民
憫	mɐŋ23	悯 怜悯
敏	mɐŋ23	敏 灵敏
抿	mɐŋ31	抿 小口喝酒
密	mɐʔ031	密 秘密
蜜	mɐʔ031	蜜 蜂蜜
鄰	lɐŋ31	邻 邻居
鱗	lɐŋ31	鳞 鱼鳞
磷	lɐŋ31	磷 磷肥
栗	lɐʔ031	栗 栗子
津	tʃɐŋ55	津 天津
儘	tʃɐŋ31	尽 尽早
進	tʃɐŋ33	进 前进
親	tʃʰɐŋ55	亲 亲戚
親	tʃʰɐŋ55	亲 亲家
七	tʃʰɐʔ055	七 第七
漆	tʃʰɐʔ055	漆 油漆
秦	tʃʰɐŋ31	秦 秦国；姓
盡	tʃɐŋ31	尽 尽力；尽头
疾	tʃɐʔ031	疾 疾病
薪	ɬɐŋ55	薪 薪水
辛	ɬɐŋ55	辛 辛苦
新	ɬɐŋ55	新 新旧
信	ɬɐŋ33	信 相信
訊	ɬɐŋ33	讯 通讯
悉	ɬet055	悉 熟悉
膝	ɬɐʔ055	膝 膝盖
珍	tʃɐŋ55	珍 珍珠
鎭	tʃɐŋ33	镇 镇压
趁	tʃʰɐŋ33	趁 趁机
陳	tʃʰɐŋ31	陈 陈年
塵	tʃʰɐŋ31	尘 灰尘
陣	tʃɐŋ31	阵 阵雨
侄	tʃɐʔ031	侄 侄子
秩	ɗit031	秩 秩序
臻	tʃɐŋ55	臻 聂荣臻
襯	tʃʰɐŋ31	衬 衬衫
蝨	ɬɐʔ055	虱 虱子
眞	tʃɐŋ55	真 真假
診	tʃɐŋ35	诊 急诊
疹	tʃʰɐŋ35	疹 麻疹
振	tʃɐŋ33	振 振动
震	tʃɐŋ33	震 地震
質	tʃɐʔ055	质 质量
神	ʃɐŋ31	神 精神
實	ʃɐʔ031	实 老实
身	ʃɐŋ55	身 身体
申	ʃɐŋ55	申 申请
伸	ʃɐŋ55	伸 伸手
失	ʃɐʔ055	失 失去
室	ʃɐʔ055	室 室内
辰	ʃɐŋ31	辰 时辰
晨	ʃɐŋ31	晨 早晨
臣	ʃɐŋ31	臣 大臣
腎	ʃɐŋ33	肾 肾脏，肾虚
愼	ʃɐŋ31	慎 慎重
人	ȵɐŋ31	人 人民
仁	ȵɐŋ31	仁 仁义
忍	ȵɐŋ23	忍 忍住
刃	ȵɐŋ23	刃 刀刃
認	ȵeŋ31	认 认得
韌	ȵɔŋ33	韧 坚韧
日	ȵɐʔ031	日 日期
巾	kɐŋ55	巾 毛巾
緊	kɐŋ35	紧 紧张
吉	kɐʔ055	吉 吉利
僅	kɐŋ35	仅 不仅
銀	ŋɐŋ31	银 银行
因	jɐŋ55	因 原因
姻	jɐŋ55	姻 婚姻
洇	jaŋ33	洇 液体向四周散开或渗透
印	jɐŋ33	印 手印
一	jɐʔ055	一 一定
乙	jit031	乙 天干
寅	jɐŋ31	寅 地支
引	jɐŋ35	引 吸引
斤	kɐŋ55	斤 斤两
筋	kɐŋ55	筋 筋骨
謹	kɐŋ35	谨 谨慎
勁	keŋ31	劲 劲敌
乞	hɐʔ055	乞 乞讨
勤	kʰɐŋ31	勤 辛勤
芹	kʰɐŋ31	芹 芹菜
近	kʰɐŋ23	近 远近
欣	hɐŋ55	欣 欣欣向荣
殷	jɐŋ55	殷 殷勤；姓
隱	ȵɐŋ23	隐 隐身，隐形
癮	jɐŋ35	瘾 烟瘾
奔	ɓɐŋ55	奔 东奔西走
本	ɓuŋ35	本 书本
逩	ɓɐŋ55	奔 投奔，奔六十岁
不	ɓɐʔ055	不 不过，不是
噴	pʰɐŋ33	喷 喷水
噴	pʰɐŋ33	喷 喷香；喷嚏
盆	pʰuŋ31	盆 脸盆
笨	ɓɐŋ31	笨 笨蛋
勃	ɓuʔ031	勃 勃然大怒
門	muŋ31	门 关门
悶	muŋ31	闷 闷热
沒	muʔ031	没 沉没
敦	ɗɐŋ55	敦 敦厚
墩	ɗɐŋ35	墩 桥墩
頓	ɗɐŋ31	顿 停顿
豚	tʰin31	豚 海豚
飩	tʰɐŋ55	饨 馄饨
炖	ɗɐŋ31	炖 炖蛋，炖鸡
囤	ɗɐŋ35	囤 囤积
盾	ɗɐŋ31	盾 矛盾
鈍	ɗɐŋ31	钝 迟钝
突	ɗɐʔ031	突 突然
凸	ɗɐʔ031	凸 凸起
嫩	nin31	嫩 稚嫩，菜嫩
侖	lɐŋ31	仑 昆仑
論	lɐŋ31	论 讨论，论文
尊	tʃin55	尊 尊敬
卒	tʃɐʔ055	卒 兵卒
村	tʃʰin55	村 村庄
寸	tʃʰin33	寸 尺寸
存	tʃʰin31	存 存折
孫	ʃin55	孙 子孙
損	ʃin35	损 损坏
遜	ɬin33	遜 谦逊
昆	kwʰɐŋ55	昆 昆虫
崑	kwʰɐŋ55	昆 昆仑
滾	kwɐŋ23	滚 滚动
棍	kwɐŋ33	棍 棍棒
骨	kwɐʔ055	骨 骨头
坤	kwʰɐŋ55	坤 乾坤
綑	kwʰɐŋ35	捆 捆住
困	kwʰɐŋ33	困 困难
睏	fɐŋ33	睏 睏觉（睡觉），犯睏
窟	fɐʔ055	窟 窟窿，屎窟
昏	fɐŋ55	昏 黄昏
婚	fɐŋ55	婚 结婚
忽	fɐʔ055	忽 忽然
魂	vɐŋ31	魂 鬼魂
餛	vɐŋ31	馄 馄饨
渾	vɐŋ31	浑 浑浊，水浑
混	vɐŋ31	混 相混，混淆
核	vɐʔ031	核 果核
溫	vɐŋ55	温 温度
瘟	vɐŋ55	瘟 鸡瘟
穩	vɐŋ23	稳 稳定
倫	lɐŋ31	伦 伦理
淪	lɐŋ31	沦 沉沦
輪	lɐŋ31	轮 车轮
律	lɐʔ031	律 纪律
率	ɬɐʔ055	率 率领
遵	tʃin55	遵 遵守
俊	tʃɐŋ33	俊 英俊
詢	tʃʰɐŋ31	询 询问
筍	ɬɐŋ35	笋 竹笋
榫	ɬɐŋ35	榫 榫头
迅	ɬɐŋ33	迅 迅速
浚	ɬɐŋ33	浚 疏浚，浚河
戌	ɬɐʔ055	戌 戊戌变法
恤	ɬet055	恤 体恤
旬	tʃʰɐŋ31	旬 上旬
循	tʃʰɐŋ31	循 循环
巡	tʃʰɐŋ31	巡 巡逻
朮	ʃɐʔ031	朮 白朮
率	lɐʔ031	率 效率
蟀	ɬɐʔ055	蟀 蟋蟀
準	tʃɐŋ35	准 标准，准则
准	tʃɐŋ35	准 准确；准许
圳	tʃɐŋ33	圳 深圳；田中小沟
春	tʃʰɐŋ55	春 春秋
蠢	tʃʰɐŋ35	蠢 愚蠢
出	tʃʰɐʔ055	出 出去
脣	ʃɐŋ31	唇 嘴唇
盾	ɗɐŋ31	盾 矛盾
順	ʃɐŋ31	顺 顺利
術	ʃɐʔ031	术 技术
述	ʃɐʔ031	述 叙述
純	ʃɐŋ31	纯 单纯
醇	ʃɐŋ31	醇 酒醇
潤	jɐŋ31	润 滋润
閏	ȵɐŋ31	闰 闰月
均	kwʰɐŋ55	均 平均
鈞	kwɐŋ55	钧 千钧一发
橘	kɐʔ055	橘 橘子
菌	kwʰɐŋ35	菌 细菌
勻	vɐŋ31	匀 均匀
允	vɐŋ23	允 允许
分	fɐŋ55	分 分开
吩	fɐŋ55	吩 吩咐
粉	fɐŋ23	粉 面粉
糞	fɐŋ31	粪 猪粪
奮	fɐŋ23	奋 奋斗
芬	fɐŋ55	芬 芬芳
紛	fɐŋ55	纷 纠纷
彿	fɐʔ055	佛 仿佛
焚	fɐŋ31	焚 焚烧
墳	fɐŋ31	坟 坟墓
憤	fɐŋ23	愤 愤怒
忿	fɐŋ23	忿 忿忿不平
份	fɐŋ31	份 一份
佛	fɐʔ031	佛 佛像
文	mɐŋ31	文 论文
紋	mɐŋ31	纹 花纹
蚊	mɐŋ55	蚊 蚊香
聞	mɐŋ31	闻 新闻
吻	mɐŋ23	吻 接吻
刎	mɐŋ23	刎 自刎
問	mɐŋ31	问 问问题
物	mɐʔ031	物 物理
勿	mɐʔ031	勿 非礼勿视
君	kwɐŋ55	君 君子
軍	kwɐŋ55	军 参军
屈	vɐʔ055	屈 委屈
羣	kwʰɐŋ31	群 群众
裙	kwʰɐŋ31	裙 连衣裙，裙子
郡	kwɐŋ31	郡 郡主
掘	kwɐʔ031	掘 挖掘，掘墓
倔	kwɐʔ031	倔 倔强
熏	vɐŋ55	熏 熏陶；熏蚊子
勳	fɐŋ55	勋 勋章
訓	fɐŋ31	训 教训
云	vɐŋ31	云 人云亦云
雲	vɐŋ31	云 白云
韻	vɐŋ31	韵 韵味
運	vɐŋ31	运 运气
暈	vɐŋ31	晕 晕车
幫	ɓɔŋ55	帮 帮忙
榜	ɓɔŋ35	榜 榜样
謗	ɓɔŋ35	谤 诽谤
博	ɓɔʔ031	博 博士
泊	ɓaʔ033	泊 梁山泊
旁	pʰɔŋ31	旁 旁边
螃	pʰɔŋ31	螃 螃蟹
傍	pʰɔŋ31	傍 傍晚
傍	pʰɔŋ31	傍 依傍
薄	ɓɔʔ031	薄 薄弱
泊	pʰaʔ033	泊 停泊
忙	mɔŋ31	忙 农忙
芒	mɔŋ31	芒 芒种
茫	mɔŋ35	茫 茫然
莽	mɔŋ23	莽 鲁莽
蟒	mɔŋ23	蟒 蟒蛇
莫	mɔʔ031	莫 莫非；姓
膜	mɔʔ031	膜 薄膜
幕	mɔʔ031	幕 谢幕
寞	mɔʔ031	寞 寂寞
摸	mo55	摸 偷偷摸摸
當	ɗɔŋ55	当 当时；应当
黨	ɗɔŋ35	党 党员
擋	ɗɔŋ35	挡 阻挡
當	ɗɔŋ33	当 当铺；当作
檔	ɗɔŋ35	档 档案
湯	tʰɔŋ55	汤 喝汤；姓
倘	tʰɔŋ35	倘 倘若
躺	tʰɔŋ35	躺 躺下
燙	tʰɔŋ55	烫 烫手
趟	tʰɔŋ33	趟 一趟
託	tʰɔʔ033	托 推托，寄托
托	tʰɔʔ033	托 托盘，托下巴
堂	tʰɔŋ31	堂 堂兄
棠	tʰɔŋ31	棠 海棠
螳	tʰɔŋ31	螳 螳螂
唐	tʰɔŋ31	唐 唐朝
糖	tʰɔŋ31	糖 糖果
塘	tʰɔŋ31	塘 池塘
蕩	ɗɔŋ31	荡 放荡
踱	ɗɔʔ031	踱 踱方步
囊	nɔŋ31	囊 行囊
諾	lɔʔ031	诺 承诺
郞	lɔŋ31	郎 郎中
廊	lɔŋ31	廊 走廊
狼	lɔŋ31	狼 豺狼
朗	lɔŋ23	朗 明朗
浪	lɔŋ31	浪 浪费
晾	lɔŋ31	晾 晾衣服
落	lɔʔ031	落 下落
烙	lɔʔ033	烙 烙印
駱	lɔʔ033	骆 骆驼
洛	lɔʔ033	洛 洛阳
絡	lɔʔ033	络 联络
樂	lɔʔ031	乐 快乐
贓	tʃɔŋ55	赃 赃款
髒	tʃɔŋ55	脏 肮脏
葬	tʃɔŋ33	葬 埋葬
作	tʃɔʔ033	作 工作
倉	tʃʰɔŋ55	仓 仓库
蒼	tʃʰɔŋ55	苍 苍白
艙	tʃʰɔŋ55	舱 船舱
錯	tʃʰo33	错 错杂
藏	tʃʰɔŋ31	藏 隐藏
藏	tʃɔŋ31	藏 西藏
臟	tʃɔŋ31	脏 内脏
鑿	tʃɔʔ031	凿 用凿子凿
昨	tʃɔʔ031	昨 昨天
桑	ɬɔŋ55	桑 桑树
喪	ɬɔŋ55	丧 婚丧，丧事
嗓	ɬɔŋ55	嗓 嗓子
喪	ɬɔŋ33	丧 丧失
索	ɬɔʔ033	索 绳索
岡	kɔŋ55	冈 井冈山
崗	kɔŋ55	岗 站岗
剛	kɔŋ55	刚 刚好
綱	kɔŋ55	纲 大纲
鋼	kɔŋ33	钢 钢铁，炼钢
缸	kɔŋ55	缸 水缸
杠	kɔŋ33	杠 抬物用具，高低杠
各	kɔʔ033	各 各位
閣	kɔʔ033	阁 阁下；阁楼
擱	kɔʔ033	搁 耽搁
康	hɔŋ55	康 健康
糠	hɔŋ55	糠 谷糠，米糠
慷	hɔŋ55	慷 慷慨
抗	kʰɔŋ33	抗 反抗
昂	ŋɔŋ23	昂 昂首，高昂
腭	hɔʔ031	腭 上腭
鱷	ŋɔʔ031	鳄 鳄鱼
行	hɔŋ31	行 银行
杭	hɔŋ31	杭 杭州
航	hɔŋ31	航 航行
鶴	hɔʔ031	鹤 仙鹤
惡	ʔɔʔ033	恶 善恶，恶霸
娘	ni̯ɛŋ31	娘 爹娘
釀	li̯ɛŋ31	酿 酿酒
良	li̯ɛŋ31	良 良好
凉	li̯ɛŋ31	凉 凉快
量	li̯ɛŋ31	量 量尺寸
糧	li̯ɛŋ31	粮 粮食
梁	li̯ɛŋ31	梁 梁山；姓
粱	li̯ɛŋ31	粱 高粱
兩	li̯ɛŋ23	两 两个
兩	li̯ɛŋ35	两 斤两
亮	li̯ɛŋ31	亮 天亮
諒	li̯ɛŋ31	谅 原谅
輛	li̯ɛŋ35	辆 车辆
量	li̯ɛŋ31	量 数量
略	li̯ɛʔ031	略 战略
掠	li̯ɛʔ031	掠 掠夺
將	tʃi̯ɛŋ55	将 将来；将军
漿	tʃi̯ɛŋ55	浆 浆糊
蔣	tʃi̯ɛŋ35	蒋 蒋介石
獎	tʃi̯ɛŋ35	奖 奖品
將	tʃi̯ɛŋ33	将 大将，将士
醬	tʃi̯ɛŋ33	酱 酱油，辣椒酱
爵	tʃi̯ɛʔ033	爵 爵位
雀	tʃi̯ɛʔ033	雀 麻雀
